synset_id,sense_id,sense_term
118752-N,118752-N-135794,ВЯЛОСТЬ
118752-N,118752-N-137325,ДРЯБЛОСТЬ
8509-N,8509-N-119867,ИШЕМИЯ
8509-N,8509-N-753541,ИШЕМИЧЕСКИЙ БОЛЕЗНЬ СЕРДЦЕ
8509-N,8509-N-115496,ИШЕМИЧЕСКИЙ БОЛЕЗНЬ
143639-N,143639-N-676991,ЭНЦЕФАЛОПАТИЯ
122264-N,122264-N-689970,КОЛИКА
122264-N,122264-N-140321,КОЛИКИ
9489-N,9489-N-119940,ПАНКРЕАТИТ
9489-N,9489-N-679757,ВОСПАЛЕНИЕ ПОДЖЕЛУДОЧНЫЙ ЖЕЛЕЗА
9409-N,9409-N-677097,БЕЛЫЙ КРОВЯНОЙ ТЕЛЬЦЕ
9409-N,9409-N-683729,БЕЛЫЙ КРОВЯНОЙ ШАРИК
9409-N,9409-N-677098,БЕЛЫЙ КРОВЯНОЙ КЛЕТКА
9409-N,9409-N-119751,ЛЕЙКОЦИТ
111192-N,111192-N-136579,ДАВЛЕНИЕ
122219-N,122219-N-136579,ДАВЛЕНИЕ
5767-N,5767-N-104360,КРОВЯНОЙ ДАВЛЕНИЕ
5767-N,5767-N-184114,ДАВЛЕНИЕ КРОВЬ
5767-N,5767-N-100537,АРТЕРИАЛЬНЫЙ ДАВЛЕНИЕ
5767-N,5767-N-136579,ДАВЛЕНИЕ
127111-N,127111-N-174185,ПРЕССИНГ
127111-N,127111-N-136579,ДАВЛЕНИЕ
127111-N,127111-N-202410,НАЖИМ
127111-N,127111-N-109657,ПРЕСС
138943-N,138943-N-205582,ОТКРЫТЫЙ ПЕРЕЛОМ
4774-N,4774-N-749212,ДОСТАВКА В БОЛЬНИЦА
4774-N,4774-N-102604,ГОСПИТАЛИЗАЦИЯ
113386-N,113386-N-135700,ВЫСЫПАНИЕ
113386-N,113386-N-135705,ВЫСЫПКА
124454-N,124454-N-135700,ВЫСЫПАНИЕ
124454-N,124454-N-741807,ПОЯВЛЕНИЕ СЫПЬ
111042-N,111042-N-146572,ПЕРЕЛИВ
111042-N,111042-N-146573,ПЕРЕЛИВАНИЕ
133639-N,133639-N-146573,ПЕРЕЛИВАНИЕ
133639-N,133639-N-204484,ПЕРЕТЕКАНИЕ
133639-N,133639-N-204797,ПЕРЕТОК
133639-N,133639-N-146572,ПЕРЕЛИВ
111043-N,111043-N-146573,ПЕРЕЛИВАНИЕ
111043-N,111043-N-146572,ПЕРЕЛИВ
9635-N,9635-N-119645,ПЕРЕЛИВАНИЕ КРОВЬ
9635-N,9635-N-121689,ТРАНСФУЗИОННЫЙ ТЕРАПИЯ
9635-N,9635-N-121753,ТРАНСФУЗИЯ
9635-N,9635-N-146573,ПЕРЕЛИВАНИЕ
114826-N,114826-N-194491,ЭГОЦЕНТРИЧНОСТЬ
114826-N,114826-N-157985,ЭГОЦЕНТРИЗМ
152549-N,152549-N-142658,МЯГКОСТЬ
119174-N,119174-N-142658,МЯГКОСТЬ
118696-N,118696-N-178347,НЕЖНОСТЬ
118696-N,118696-N-142658,МЯГКОСТЬ
138339-N,138339-N-142658,МЯГКОСТЬ
138339-N,138339-N-731384,МЯГКОСТЬ ХАРАКТЕР
7860-N,7860-N-104790,КЕСАРЕВ СЕЧЕНИЕ
7860-N,7860-N-124960,ЧРЕВОСЕЧЕНИЕ
5802-N,5802-N-213471,ПРОБЛЕМА В РАЗВИТИЕ
5802-N,5802-N-213472,ОТКЛОНЕНИЕ В РАЗВИТИЕ
5802-N,5802-N-115581,НАРУШЕНИЕ УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-213470,НАРУШЕНИЕ ИНТЕЛЛЕКТУАЛЬНЫЙ РАЗВИТИЕ
5802-N,5802-N-108061,ОЛИГОФРЕНИЯ
5802-N,5802-N-213983,МАЛОУМИЕ
5802-N,5802-N-217540,УМСТВЕННЫЙ НЕПОЛНОЦЕННОСТЬ
5802-N,5802-N-201826,ИМБЕЦИЛЬНОСТЬ
5802-N,5802-N-113379,УМСТВЕННЫЙ ОТСТАЛОСТЬ
5802-N,5802-N-217552,ИДИОТИЯ
5802-N,5802-N-213982,ЗАДЕРЖКА УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-756031,ЗАДЕРЖКА В РАЗВИТИЕ
5802-N,5802-N-119859,ДЕБИЛЬНОСТЬ
119632-N,119632-N-147387,ПОДАВЛЕННОСТЬ
118430-N,118430-N-684123,ТЯЖЕСТЬ НА ДУША
118430-N,118430-N-683825,УГНЕТЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-189544,ПРИШИБЛЕННОСТЬ
118430-N,118430-N-147387,ПОДАВЛЕННОСТЬ
118430-N,118430-N-166691,УГНЕТЕННОСТЬ
118430-N,118430-N-683826,УДРУЧЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-160426,УДРУЧЕННОСТЬ
118430-N,118430-N-737441,КАМЕНЬ НА ДУША
118430-N,118430-N-720119,СОСТОЯНИЕ ПОДАВЛЕННОСТЬ
118430-N,118430-N-684125,ДУШЕВНЫЙ ТЯЖЕСТЬ
118430-N,118430-N-683824,ПОДАВЛЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-737440,КАМЕНЬ НА СЕРДЦЕ
118430-N,118430-N-684124,ТЯЖЕСТЬ НА СЕРДЦЕ
8393-N,8393-N-101469,МЛАДЕНЧЕСТВО
8393-N,8393-N-179782,МЛАДЕНЧЕСКИЙ ВОЗРАСТ
1321-N,1321-N-683576,НЕСОСТОЯТЕЛЬНОСТЬ БАНКРОТСТВО
1321-N,1321-N-715235,ПРИЗНАНИЕ БАНКРОТ
1321-N,1321-N-715347,СФЕРА БАНКРОТСТВО
1321-N,1321-N-100793,БАНКРОТСТВО
1321-N,1321-N-204380,БАНКРОТСТВО НЕСОСТОЯТЕЛЬНОСТЬ
1321-N,1321-N-207027,НЕСОСТОЯТЕЛЬНОСТЬ
1321-N,1321-N-121382,ФИНАНСОВЫЙ НЕСОСТОЯТЕЛЬНОСТЬ
118130-N,118130-N-140871,КРАХ
118130-N,118130-N-704530,ПОЛНЫЙ ПРОВАЛ
118130-N,118130-N-722052,ПОЛНЫЙ КРАХ
118130-N,118130-N-149648,ПРОВАЛ
118130-N,118130-N-755213,БОЛЬШОЙ ОБЛОМ
118130-N,118130-N-144080,ОБЛОМ
118130-N,118130-N-105574,КРУШЕНИЕ
118130-N,118130-N-100793,БАНКРОТСТВО
118130-N,118130-N-741841,ПРОВАЛЬНОСТЬ
9456-N,9456-N-119713,ГЕМОФИЛИЯ
9456-N,9456-N-119818,НЕСВЕРТЫВАЕМОСТЬ КРОВЬ
135605-N,135605-N-194239,ФЕТИШИЗМ
135605-N,135605-N-742912,ПОКЛОНЕНИЕ ФЕТИШ
8482-N,8482-N-187699,ЛЮЭС
8482-N,8482-N-115397,СИФИЛИС
9238-N,9238-N-118605,РАХИТ
141880-N,141880-N-214959,ГАЗ В КИШЕЧНИК
141880-N,141880-N-214958,МЕТЕОРИЗМ
8804-N,8804-N-116629,ПРОСТУДА
8804-N,8804-N-116327,ПРОСТУДНЫЙ ЗАБОЛЕВАНИЕ
137887-N,137887-N-116629,ПРОСТУДА
137887-N,137887-N-727605,ГУБНОЙ ГЕРПЕС
137887-N,137887-N-141561,ЛИХОРАДКА
137887-N,137887-N-202773,ЛИХОРАДКА НА ГУБА
137887-N,137887-N-202774,ПРОСТУДА НА ГУБА
136950-N,136950-N-199185,ДИСКОГРАФИЯ
7394-N,7394-N-700683,ПОЛИАРТРИТ
7394-N,7394-N-100552,АРТРИТ
6918-N,6918-N-730493,НАРКОТИЧЕСКИЙ ИНТОКСИКАЦИЯ
6918-N,6918-N-107211,НАРКОТИЧЕСКИЙ ОПЬЯНЕНИЕ
6918-N,6918-N-125363,НАРКОТИЧЕСКИЙ ДУРМАН
6918-N,6918-N-203474,КАЙФ
6918-N,6918-N-121267,НАРКОТИЧЕСКИЙ ЭФФЕКТ
6918-N,6918-N-747304,ПОД КАЙФ
616-N,616-N-115737,НЕДОМОГАНИЕ
616-N,616-N-156837,ХВОРЬ
616-N,616-N-106281,МЕДИЦИНСКИЙ ПАТОЛОГИЯ
616-N,616-N-103680,ЗАБОЛЕВАНИЕ ЧЕЛОВЕК
616-N,616-N-107470,НЕДУГ
616-N,616-N-174280,НЕЗДОРОВЬЕ
616-N,616-N-737136,БОЛЯЧКА
616-N,616-N-103678,ЗАБОЛЕВАНИЕ
616-N,616-N-118922,ОБЩЕСОМАТИЧЕСКИЙ ЗАБОЛЕВАНИЕ
616-N,616-N-120458,ПАТОЛОГИЯ
616-N,616-N-156832,ХВОРОБА
616-N,616-N-101075,БОЛЕЗНЬ
616-N,616-N-156836,ХВОРОСТЬ
126257-N,126257-N-172168,ЗАРУБКА
126257-N,126257-N-172169,ЗАСЕЧКА
126257-N,126257-N-151992,РУБЕЦ
114262-N,114262-N-151992,РУБЕЦ
114262-N,114262-N-191308,РУБЧИК
114262-N,114262-N-179081,ШРАМ
114262-N,114262-N-214591,РУБЕЦ ОТ РАНА
141737-N,141737-N-214592,РУБЕЦ ЖВАЧНЫЙ
141737-N,141737-N-151992,РУБЕЦ
144274-N,144274-N-736457,ДОБРОКАЧЕСТВЕННЫЙ ОБРАЗОВАНИЕ
144274-N,144274-N-161613,ДОБРОКАЧЕСТВЕННОСТЬ
144274-N,144274-N-681203,ДОБРОКАЧЕСТВЕННЫЙ НОВООБРАЗОВАНИЕ
144274-N,144274-N-681202,ДОБРОКАЧЕСТВЕННЫЙ ОПУХОЛЬ
110398-N,110398-N-669630,ИСТЕРИЧЕСКИЙ НЕВРОЗ
110398-N,110398-N-721631,ИСТЕРИЧЕСКИЙ РАССТРОЙСТВО
110398-N,110398-N-139461,ИСТЕРИЯ
110398-N,110398-N-721633,КОНВЕРСИОННЫЙ РАССТРОЙСТВО
134258-N,134258-N-139461,ИСТЕРИЯ
134258-N,134258-N-119950,ПСИХОЗ
134258-N,134258-N-744154,МАССОВЫЙ ИСТЕРИЯ
131976-N,131976-N-731809,НИЗКИЙ РОСТ
131976-N,131976-N-159682,МАЛОРОСЛОСТЬ
131976-N,131976-N-184160,НИЗКОРОСЛОСТЬ
112828-N,112828-N-150677,РАДИКУЛИТ
119440-N,119440-N-173181,МЕХАНИЧНОСТЬ
119440-N,119440-N-762885,НА АВТОМАТ
119440-N,119440-N-160924,АВТОМАТИЧНОСТЬ
119440-N,119440-N-760784,АВТОМАТИЗМ
119440-N,119440-N-159404,МАШИНАЛЬНОСТЬ
116103-N,116103-N-192697,СКУКОТА
116103-N,116103-N-743315,СКУКА СМЕРТНЫЙ
116103-N,116103-N-153084,СКУКА
116103-N,116103-N-742349,СКУКОТИЩА
116103-N,116103-N-743314,СМЕРТНЫЙ СКУКА
118453-N,118453-N-159025,МЯГКОТЕЛОСТЬ
118453-N,118453-N-153111,СЛАБОВОЛИЕ
118453-N,118453-N-184692,МАЛОДУШИЕ
118453-N,118453-N-159020,БЕЗВОЛЬНОСТЬ
118453-N,118453-N-169851,БЕЗВОЛИЕ
118453-N,118453-N-153116,СЛАБОСТЬ
118453-N,118453-N-159022,СЛАБОХАРАКТЕРНОСТЬ
114389-N,114389-N-153116,СЛАБОСТЬ
128592-N,128592-N-153116,СЛАБОСТЬ
119945-N,119945-N-187607,ОСЛАБЕЛОСТЬ
119945-N,119945-N-153116,СЛАБОСТЬ
119945-N,119945-N-133770,БОЛЕЗНЕННОСТЬ
110393-N,110393-N-685166,ПСИХОПАТИЧЕСКИЙ РАССТРОЙСТВО
110393-N,110393-N-677854,РАССТРОЙСТВО ЛИЧНОСТЬ
110393-N,110393-N-150493,ПСИХОПАТИЯ
136606-N,136606-N-119482,СЕРА
136606-N,136606-N-197225,УШНОЙ СЕРА
110168-N,110168-N-101156,БРЮШНОЙ ТИФ
9316-N,9316-N-119137,РЕГИОНАЛЬНЫЙ ИЗБИРАТЕЛЬНЫЙ КОМИССИЯ
9316-N,9316-N-674524,ТЕРРИТОРИАЛЬНЫЙ ИЗБИРКОМ
9316-N,9316-N-727313,ТЕРИЗБИРКОМ
9316-N,9316-N-674525,РЕГИОНАЛЬНЫЙ ИЗБИРКОМ
9316-N,9316-N-119149,ТЕРРИТОРИАЛЬНЫЙ ИЗБИРАТЕЛЬНЫЙ КОМИССИЯ
9316-N,9316-N-155037,ТИК
110172-N,110172-N-747429,ТИК ПЕРЬЕВОЙ
110172-N,110172-N-747428,ТИК НАБИВНОЙ
110172-N,110172-N-155037,ТИК
110172-N,110172-N-217077,ТИКОВЫЙ ТКАНЬ
119161-N,119161-N-754232,ВСЕ ТРЫН-ТРАВА
119161-N,119161-N-158766,АПАТИЧНОСТЬ
119161-N,119161-N-158767,АПАТИЯ
9869-N,9869-N-121790,ГРЫЖА
9869-N,9869-N-121791,ГРЫЖЕВОЙ ВЫПЯЧИВАНИЕ
137569-N,137569-N-201731,СЕРДЕЧНЫЙ ПРИСТУП
119173-N,119173-N-198852,ПОДГЛЯДЫВАНИЕ
119173-N,119173-N-198851,ПОДСМАТРИВАНИЕ
113098-N,113098-N-151368,РАССЕЯННЫЙ СКЛЕРОЗ
113098-N,113098-N-691943,МНОЖЕСТВЕННЫЙ СКЛЕРОЗ
153885-N,153885-N-752598,ЧИСТКА ЗУБ
146388-N,146388-N-112091,СТАФИЛОКОКК
146388-N,146388-N-705475,ПАТОГЕННЫЙ СТАФИЛОКОКК
146388-N,146388-N-705476,СТАФИЛОКОККОВЫЙ ИНФЕКЦИЯ
6129-N,6129-N-211915,ЗАБОЛЕВАНИЕ СЕРДЕЧНО-СОСУДИСТЫЙ СИСТЕМА
6129-N,6129-N-111792,СОСУДИСТЫЙ ЗАБОЛЕВАНИЕ
6129-N,6129-N-122050,СОСУДИСТЫЙ БОЛЕЗНЬ
6129-N,6129-N-111460,СЕРДЕЧНО-СОСУДИСТЫЙ ЗАБОЛЕВАНИЕ
6129-N,6129-N-182523,БОЛЕЗНЬ СИСТЕМА КРОВООБРАЩЕНИЕ
6129-N,6129-N-187201,БОЛЕЗНЬ СИСТЕМА ОРГАН КРОВООБРАЩЕНИЕ
6129-N,6129-N-116547,СЕРДЕЧНО-СОСУДИСТЫЙ ПАТОЛОГИЯ
759-N,759-N-100917,БЕРЕМЕННЫЙ ЖЕНЩИНА
9444-N,9444-N-119739,ИНЪЕКЦИЯ
9444-N,9444-N-196640,ВЛИВАНИЕ
9444-N,9444-N-721315,ВВЕДЕНИЕ РАСТВОР
9444-N,9444-N-729787,ИНЪЕКЦИЯ ЛЕКАРСТВО
9444-N,9444-N-742692,УКОЛЬЧИК
9444-N,9444-N-155881,УКОЛ
106641-N,106641-N-147339,ПОВЫШЕНИЕ
106641-N,106641-N-134784,ВОЗРАСТАНИЕ
110888-N,110888-N-147850,ПОДЪЕМ
110888-N,110888-N-147623,ПОДНИМАНИЕ
110888-N,110888-N-147339,ПОВЫШЕНИЕ
110888-N,110888-N-147627,ПОДНЯТИЕ
125687-N,125687-N-134728,ВОЗВЫШЕНИЕ
125687-N,125687-N-147339,ПОВЫШЕНИЕ
125687-N,125687-N-168773,ВОЗНЕСЕНИЕ
135997-N,135997-N-195169,ОДИНОЧЕСТВО
134773-N,134773-N-191967,ВЗДОРНОСТЬ
134773-N,134773-N-191970,СВАРЛИВОСТЬ
7528-N,7528-N-111095,САЛЬМОНЕЛЛЕЗ
5298-N,5298-N-201697,ПОЧТЕННЫЙ ВОЗРАСТ
5298-N,5298-N-109105,ПОЖИЛОЙ ВОЗРАСТ
107341-N,107341-N-133430,БЕЗМОЛВИЕ
107341-N,107341-N-207684,ТИШЬ
107341-N,107341-N-155060,ТИШИНА
107341-N,107341-N-755654,МОЛЧАНЬЕ
107341-N,107341-N-142407,МОЛЧАНИЕ
107341-N,107341-N-183286,ЗАТИШЬЕ
118712-N,118712-N-142407,МОЛЧАНИЕ
118712-N,118712-N-749439,МОЛЧОК
107340-N,107340-N-142407,МОЛЧАНИЕ
107340-N,107340-N-755654,МОЛЧАНЬЕ
9491-N,9491-N-119965,ШИЗОФРЕНИЯ
9491-N,9491-N-217331,ШИЗОФРЕНИЧЕСКИЙ ПСИХОЗ
120794-N,120794-N-202354,ЛЕНЬ
120794-N,120794-N-162795,ЛЕНОСТЬ
120794-N,120794-N-202356,ЛЕНИВОСТЬ
112643-N,112643-N-139869,КАТАР ЖЕЛУДОК
112643-N,112643-N-135895,ГАСТРИТ
111428-N,111428-N-146384,ПЕРЕВЯЗЫВАНИЕ
111428-N,111428-N-752058,ПЕРЕВЯЗКА РАНА
111428-N,111428-N-146383,ПЕРЕВЯЗКА
111428-N,111428-N-683979,НАЛОЖЕНИЕ ПОВЯЗКА
119408-N,119408-N-159325,ПРИСТАЛЬНОСТЬ
119408-N,119408-N-729081,ПРИСТАЛЬНЫЙ ВЗГЛЯД
119408-N,119408-N-729082,ПРИСТАЛЬНЫЙ ВЗОР
8216-N,8216-N-107202,НАРКОЗ
8216-N,8216-N-119899,ОБЩИЙ АНЕСТЕЗИЯ
134801-N,134801-N-192043,СЕКРЕЦИЯ
134801-N,134801-N-213616,СЕКРЕТОРНЫЙ ДЕЯТЕЛЬНОСТЬ
134801-N,134801-N-213617,ВЫДЕЛЕНИЕ СЕКРЕТ
5802-N,5802-N-213471,ПРОБЛЕМА В РАЗВИТИЕ
5802-N,5802-N-213472,ОТКЛОНЕНИЕ В РАЗВИТИЕ
5802-N,5802-N-115581,НАРУШЕНИЕ УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-213470,НАРУШЕНИЕ ИНТЕЛЛЕКТУАЛЬНЫЙ РАЗВИТИЕ
5802-N,5802-N-108061,ОЛИГОФРЕНИЯ
5802-N,5802-N-213983,МАЛОУМИЕ
5802-N,5802-N-217540,УМСТВЕННЫЙ НЕПОЛНОЦЕННОСТЬ
5802-N,5802-N-201826,ИМБЕЦИЛЬНОСТЬ
5802-N,5802-N-113379,УМСТВЕННЫЙ ОТСТАЛОСТЬ
5802-N,5802-N-217552,ИДИОТИЯ
5802-N,5802-N-213982,ЗАДЕРЖКА УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-756031,ЗАДЕРЖКА В РАЗВИТИЕ
5802-N,5802-N-119859,ДЕБИЛЬНОСТЬ
110398-N,110398-N-669630,ИСТЕРИЧЕСКИЙ НЕВРОЗ
110398-N,110398-N-721631,ИСТЕРИЧЕСКИЙ РАССТРОЙСТВО
110398-N,110398-N-139461,ИСТЕРИЯ
110398-N,110398-N-721633,КОНВЕРСИОННЫЙ РАССТРОЙСТВО
134589-N,134589-N-191110,РОДИНКА
134589-N,134589-N-719904,РОДИМЫЙ ПЯТНО
9414-N,9414-N-119742,КИСТА
861-N,861-N-179832,НЕЗАНЯТОСТЬ
861-N,861-N-100889,БЕЗРАБОТИЦА
141541-N,141541-N-213978,БОЛЕЗНЬ АЛЬЦГЕЙМЕР
141541-N,141541-N-213981,СИНДРОМ АЛЬЦГЕЙМЕР
5802-N,5802-N-213471,ПРОБЛЕМА В РАЗВИТИЕ
5802-N,5802-N-213472,ОТКЛОНЕНИЕ В РАЗВИТИЕ
5802-N,5802-N-115581,НАРУШЕНИЕ УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-213470,НАРУШЕНИЕ ИНТЕЛЛЕКТУАЛЬНЫЙ РАЗВИТИЕ
5802-N,5802-N-108061,ОЛИГОФРЕНИЯ
5802-N,5802-N-213983,МАЛОУМИЕ
5802-N,5802-N-217540,УМСТВЕННЫЙ НЕПОЛНОЦЕННОСТЬ
5802-N,5802-N-201826,ИМБЕЦИЛЬНОСТЬ
5802-N,5802-N-113379,УМСТВЕННЫЙ ОТСТАЛОСТЬ
5802-N,5802-N-217552,ИДИОТИЯ
5802-N,5802-N-213982,ЗАДЕРЖКА УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-756031,ЗАДЕРЖКА В РАЗВИТИЕ
5802-N,5802-N-119859,ДЕБИЛЬНОСТЬ
142655-N,142655-N-217453,ПТИЧИЙ ГРИПП
142655-N,142655-N-217454,КУРИНЫЙ ГРИПП
5423-N,5423-N-104690,КАРИЕС
126246-N,126246-N-745040,АЛКОГОЛЬНЫЙ ЗАПОЙ
126246-N,126246-N-172135,ЗАПОЙ
126246-N,126246-N-760443,БЕСПРОБУДНЫЙ ЗАПОЙ
126246-N,126246-N-760440,БЕСПРОБУДНЫЙ ПЬЯНСТВО
138129-N,138129-N-723521,РАСТЯЖЕНИЕ МЫШЦА
138129-N,138129-N-167519,РАСТЯЖЕНИЕ
138129-N,138129-N-730240,РАСТЯЖКА СВЯЗКА
138129-N,138129-N-730239,РАСТЯЖКА МЫШЦА
138129-N,138129-N-167520,РАСТЯЖКА
138129-N,138129-N-723520,РАСТЯЖЕНИЕ СВЯЗКА И МЫШЦА
138129-N,138129-N-721670,РАСТЯЖЕНИЕ СВЯЗКА
123923-N,123923-N-167520,РАСТЯЖКА
123923-N,123923-N-167519,РАСТЯЖЕНИЕ
123923-N,123923-N-163420,РАСТЯГИВАНИЕ
118910-N,118910-N-150808,РАЗГОВОРЧИВОСТЬ
118910-N,118910-N-153205,СЛОВООХОТЛИВОСТЬ
118910-N,118910-N-160707,ГОВОРЛИВОСТЬ
135743-N,135743-N-194640,АБСТИНЕНТНЫЙ СИНДРОМ
135743-N,135743-N-194641,АБСТИНЕНЦИЯ
135743-N,135743-N-714087,СИМПТОМ ЛОМКА
135743-N,135743-N-714086,СОСТОЯНИЕ ЛОМКА
135743-N,135743-N-141664,ЛОМКА
114693-N,114693-N-153862,СПАЗМА
114693-N,114693-N-153861,СПАЗМ
114693-N,114693-N-140503,КОНВУЛЬСИЯ
114693-N,114693-N-123458,СУДОРОГА
6481-N,6481-N-124780,ВРОЖДЕННЫЙ АНОМАЛИЯ
6481-N,6481-N-215146,ВРОЖДЕННЫЙ НАРУШЕНИЕ
6481-N,6481-N-123570,ВРОЖДЕННЫЙ ПАТОЛОГИЯ
118926-N,118926-N-144623,ОЗНОБ
118926-N,118926-N-738615,ХОЛОД ПО ТЕЛО
118926-N,118926-N-738614,ХОЛОДОК ПО ТЕЛО
118926-N,118926-N-201624,ХОЛОДОК
118926-N,118926-N-156943,ХОЛОД
107511-N,107511-N-148116,ПОЛОСТЬ
107511-N,107511-N-104616,КАМЕРА
107511-N,107511-N-738990,ВНУТРЕННИЙ ПОЛОСТЬ
107511-N,107511-N-759221,ПОЛОСТНОЙ ОБРАЗОВАНИЕ
107511-N,107511-N-215284,ПОЛЫЙ ПРОСТРАНСТВО
109980-N,109980-N-195788,ПОЛОСТЬ ТЕЛО
109980-N,109980-N-712324,ПОЛОСТЬ ОРГАНИЗМ
109980-N,109980-N-148116,ПОЛОСТЬ
109068-N,109068-N-100392,АЛЛЕРГИЯ
109068-N,109068-N-122413,АЛЛЕРГОЛОГИЧЕСКИЙ РЕАКЦИЯ
109068-N,109068-N-120651,АЛЛЕРГИЧЕСКИЙ ЗАБОЛЕВАНИЕ
109068-N,109068-N-122318,АЛЛЕРГИЧЕСКИЙ СОСТОЯНИЕ
109068-N,109068-N-100390,АЛЛЕРГИЧЕСКИЙ РЕАКЦИЯ
118983-N,118983-N-158372,ВОИНСТВЕННОСТЬ
116900-N,116900-N-133579,БЕССОННИЦА
136989-N,136989-N-199355,КЛИМАТОЛЕЧЕНИЕ
136989-N,136989-N-199354,КЛИМАТОТЕРАПИЯ
146631-N,146631-N-674552,БЕЗ СОЗНАНИЕ
146631-N,146631-N-217110,ЗАБЫТЬЕ
146631-N,146631-N-759070,БЕСЧУВСТВИЕ
146631-N,146631-N-195162,БЕССОЗНАТЕЛЬНЫЙ СОСТОЯНИЕ
146631-N,146631-N-195157,БЕСПАМЯТСТВО
146631-N,146631-N-746496,БЕСПАМЯТНЫЙ СОСТОЯНИЕ
120934-N,120934-N-163118,ТАМПОН
119504-N,119504-N-167850,ГОЛОДАНИЕ
119504-N,119504-N-215540,ДЛИТЕЛЬНЫЙ НЕДОЕДАНИЕ
119504-N,119504-N-136180,ГОЛОД
119504-N,119504-N-677789,ГОЛОДУХА
124122-N,124122-N-167850,ГОЛОДАНИЕ
152622-N,152622-N-133679,БЛЕДНОСТЬ
152622-N,152622-N-743145,БЛЕДНОСТЬ ЛИЦО
8524-N,8524-N-115559,ПОКУШЕНИЕ НА УБИЙСТВО
8524-N,8524-N-115560,ПОКУШЕНИЕ
8524-N,8524-N-213342,ПОКУШЕНИЕ НА ЖИЗНЬ
8524-N,8524-N-213341,ПОСЯГАТЕЛЬСТВО НА ЖИЗНЬ
8524-N,8524-N-735314,ПОКУШЕНИЕ НА ЧЕЛОВЕК
8524-N,8524-N-213343,ПОПЫТКА УБИЙСТВО
144269-N,144269-N-681197,ЖЕЛТУШНОСТЬ
144269-N,144269-N-137579,ЖЕЛТУХА
4030-N,4030-N-102401,ГЕПАТИТ
4030-N,4030-N-137579,ЖЕЛТУХА
120600-N,120600-N-137307,ДРОЖАНИЕ
120600-N,120600-N-171804,ТРЕПЕТАНИЕ
136318-N,136318-N-187249,ГЕМОДИАЛИЗ
136318-N,136318-N-196875,ДИАЛИЗ
136318-N,136318-N-723375,ПОЧЕЧНЫЙ ГЕМОДИАЛИЗ
136318-N,136318-N-196876,ДИАЛИЗ ПОЧКА
136318-N,136318-N-196878,ПОЧЕЧНЫЙ ДИАЛИЗ
7829-N,7829-N-113716,ФИЗИЧЕСКИЙ НАСИЛИЕ
7829-N,7829-N-143212,НАСИЛИЕ
7829-N,7829-N-123190,ФИЗИЧЕСКИЙ ПРИНУЖДЕНИЕ
130971-N,130971-N-738347,ДРОЖЬ В ТЕЛО
130971-N,130971-N-155432,ТРЯСЕНИЕ
130971-N,130971-N-742691,ТРЯСУЧКА
130971-N,130971-N-181975,ДРОЖЬ
130971-N,130971-N-137307,ДРОЖАНИЕ
120600-N,120600-N-137307,ДРОЖАНИЕ
120600-N,120600-N-171804,ТРЕПЕТАНИЕ
114517-N,114517-N-155432,ТРЯСЕНИЕ
114517-N,114517-N-198843,ПОДРАГИВАНИЕ
114517-N,114517-N-155433,ТРЯСКА
114517-N,114517-N-137307,ДРОЖАНИЕ
114517-N,114517-N-181975,ДРОЖЬ
151369-N,151369-N-181975,ДРОЖЬ
151369-N,151369-N-137307,ДРОЖАНИЕ
151369-N,151369-N-735991,ДРОЖАНИЕ ЗВУК
115901-N,115901-N-137307,ДРОЖАНИЕ
115901-N,115901-N-142120,МЕРЦАНИЕ
115901-N,115901-N-729091,ДРОЖАНИЕ СВЕТ
115901-N,115901-N-181975,ДРОЖЬ
137721-N,137721-N-160327,НЕТЕРПИМОСТЬ
137721-N,137721-N-728796,НЕТЕРПИМОСТЬ К ЛЮДИ
119803-N,119803-N-160327,НЕТЕРПИМОСТЬ
133175-N,133175-N-187146,МЕТИЛОВЫЙ СПИРТ
133175-N,133175-N-187145,МЕТАНОЛ
133175-N,133175-N-216626,ДРЕВЕСНЫЙ СПИРТ
121118-N,121118-N-185828,МОЧЕИСПУСКАНИЕ
121118-N,121118-N-197236,ОТДЕЛЕНИЕ МОЧА
121118-N,121118-N-197237,ДИУРЕЗ
121118-N,121118-N-185827,МОЧЕВЫДЕЛЕНИЕ
121118-N,121118-N-185829,МОЧЕОТДЕЛЕНИЕ
6962-N,6962-N-752094,ПОНИЖЕННЫЙ СЛУХ
6962-N,6962-N-178516,ТУГОУХОСТЬ
6962-N,6962-N-115567,ПОТЕРЯ СЛУХ
6962-N,6962-N-214466,ПОНИЖЕНИЕ ОСТРОТА СЛУХ
6962-N,6962-N-178517,ОСЛАБЛЕНИЕ СЛУХ
6962-N,6962-N-752093,НАРУШЕННЫЙ СЛУХ
6962-N,6962-N-107259,НАРУШЕНИЕ СЛУХ
