EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,1,1,DI[3]|Finding[1],252298,4,0.055553436279296875,0.1798456609249115,0.1196250319480896,0.9969397783279419,0.07951396703720093
1,0,0,0,0,EF[2],252298,7,0.9867560863494873,0.017923563718795776,0.03145512938499451,0.052912771701812744,0.021650463342666626
0,0,0,0,0,NEUTRAL,252298,8,0.9926502704620361,0.016957491636276245,0.08556130528450012,0.9271831512451172,0.04711690545082092
0,0,0,1,0,DI[1],2457636,2,0.013318359851837158,0.014727205038070679,0.009353548288345337,0.9838054776191711,0.020339995622634888
0,1,0,1,0,INF[3]|DI[2],2457636,5,0.08032152056694031,0.9727038145065308,0.08618572354316711,0.9665148854255676,0.039558619260787964
0,1,0,0,0,INF[4],2457636,6,0.006846100091934204,0.008955836296081543,0.009379953145980835,0.09560844302177429,0.23963278532028198
0,0,0,0,0,NEUTRAL,2457636,1,0.0394836962223053,0.9574255347251892,0.02345249056816101,0.0162983238697052,0.027222812175750732
0,0,0,1,0,DI[1],902248,1,0.017778486013412476,0.008230090141296387,0.008518636226654053,0.9799691438674927,0.017652422189712524
0,1,0,0,0,INF[2],902248,4,0.04707571864128113,0.9719525575637817,0.02952292561531067,0.029493749141693115,0.023755550384521484
0,1,0,0,0,INF[3],902248,13,0.07266831398010254,0.9376990795135498,0.017934948205947876,0.015844106674194336,0.017842471599578857
0,1,0,0,0,INF[4],902248,17,0.043615639209747314,0.9727224111557007,0.030890285968780518,0.02798101305961609,0.02531951665878296
0,0,0,0,0,NEUTRAL,902248,2,0.31804126501083374,0.007713496685028076,0.006977736949920654,0.024260878562927246,0.007673114538192749
0,0,0,1,0,DI[5],1410682,1,0.00594174861907959,0.012557178735733032,0.6866017580032349,0.321433961391449,0.6485995650291443
0,0,0,1,0,DI[8],1410682,3,0.07332509756088257,0.02905157208442688,0.9728223085403442,0.02798965573310852,0.03756144642829895
1,0,0,0,0,EF[4],1410682,6,0.9687546491622925,0.016373783349990845,0.022055596113204956,0.024540364742279053,0.016689836978912354
1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.14435434341430664,0.005914479494094849,0.009236425161361694,0.9815118908882141,0.011498063802719116
0,0,1,0,0,ADR[3],1410682,9,0.025582104921340942,0.02108636498451233,0.9573648571968079,0.023534834384918213,0.04495823383331299
0,0,1,0,0,ADR[7],1410682,10,0.22657319903373718,0.0011034607887268066,0.016007661819458008,0.78254234790802,0.018026262521743774
0,0,0,0,0,NEUTRAL,1410682,12,0.9902345538139343,0.0139598548412323,0.022819072008132935,0.3567460775375366,0.019854992628097534
0,0,1,0,0,ADR[1],828011,2,0.02730095386505127,0.03507894277572632,0.9779995679855347,0.08272188901901245,0.053893715143203735
0,0,0,0,0,NEUTRAL,828011,3,0.00559726357460022,0.013954490423202515,0.007444143295288086,0.027621209621429443,0.06567549705505371
0,0,0,1,0,DI[1],2670520,3,0.015765070915222168,0.007786542177200317,0.008882313966751099,0.9806959629058838,0.02172759175300598
0,0,0,1,0,DI[3],2670520,6,0.006571769714355469,0.010952770709991455,0.0990416407585144,0.12838950753211975,0.6458720564842224
1,0,0,1,0,EF[2]|DI[4],2670520,8,0.8030635118484497,0.012935906648635864,0.008375734090805054,0.9716050624847412,0.010910242795944214
0,0,0,0,0,NEUTRAL,2670520,5,0.8371731042861938,0.0027631819248199463,0.038144975900650024,0.037749797105789185,0.015337079763412476
0,0,1,0,0,ADR[1],2388814,2,0.03937825560569763,0.01949089765548706,0.9627211093902588,0.029573291540145874,0.037066102027893066
0,0,1,0,0,ADR[2],2388814,5,0.055292874574661255,0.02194318175315857,0.9711136817932129,0.039361804723739624,0.037332355976104736
0,0,0,0,0,NEUTRAL,2388814,3,0.016779780387878418,0.01804479956626892,0.008433222770690918,0.014718621969223022,0.015625834465026855
1,0,0,0,0,EF[1],2732826,6,0.979418933391571,0.005884408950805664,0.024331092834472656,0.6999830603599548,0.018922001123428345
0,0,0,0,0,NEUTRAL,2732826,3,0.010493427515029907,0.008829593658447266,0.010629385709762573,0.015035748481750488,0.04051923751831055
0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.9805939197540283,0.031985968351364136,0.12251955270767212,0.9882041811943054,0.09475362300872803
0,0,1,0,0,ADR[2],2800633,5,0.005793750286102295,0.010273545980453491,0.009743213653564453,0.6987309455871582,0.05315214395523071
0,0,0,0,0,NEUTRAL,2800633,3,0.0127888023853302,0.008434295654296875,0.018335700035095215,0.01246759295463562,0.15181207656860352
0,0,0,1,0,DI[2],2492997,1,0.020308256149291992,0.007504135370254517,0.00834035873413086,0.9802199006080627,0.017390549182891846
1,1,0,1,0,INF[4]|EF[3]|DI[1],2492997,3,0.04284682869911194,0.8447386026382446,0.01721605658531189,0.9742202758789062,0.027969181537628174
0,0,0,0,0,NEUTRAL,2492997,2,0.010853946208953857,0.00829923152923584,0.011888265609741211,0.013442933559417725,0.06306225061416626
0,0,0,1,0,DI[4],2433935,1,0.9250931143760681,0.015023261308670044,0.015201538801193237,0.9818915724754333,0.01663532853126526
0,1,0,0,0,INF[5],2433935,3,0.007007628679275513,0.8518049716949463,0.01584601402282715,0.017353087663650513,0.1125217080116272
0,1,0,1,0,INF[1]|DI[6],2433935,4,0.04700234532356262,0.9825056791305542,0.09515109658241272,0.9358087182044983,0.051175057888031006
0,0,0,1,0,DI[3],2433935,8,0.01291579008102417,0.00839272141456604,0.008521795272827148,0.9764368534088135,0.021174848079681396
0,1,0,0,0,INF[2],2433935,9,0.03264772891998291,0.9818841218948364,0.07337108254432678,0.9320813417434692,0.056286126375198364
0,0,0,0,0,NEUTRAL,2433935,10,0.015799373388290405,0.011657118797302246,0.010454177856445312,0.011985361576080322,0.021985948085784912
0,0,0,1,0,DI[7],826379,2,0.02073553204536438,0.9222825169563293,0.23773783445358276,0.9774875044822693,0.24117332696914673
1,0,1,0,0,EF[5]|ADR[8],826379,7,0.6154550909996033,0.49970072507858276,0.9861257672309875,0.3960716724395752,0.17478832602500916
0,0,1,0,0,ADR[1],826379,8,0.00728878378868103,0.02346903085708618,0.8088171482086182,0.011926770210266113,0.2616455554962158
0,0,0,0,1,Finding[3],826379,10,0.008190631866455078,0.017677515745162964,0.75254225730896,0.017723262310028076,0.4711051881313324
0,0,0,0,1,Finding[2],826379,11,0.013043731451034546,0.12951210141181946,0.04995715618133545,0.04365161061286926,0.8584088087081909
0,0,0,1,0,DI[4],826379,13,0.0144273042678833,0.0186978280544281,0.9507426023483276,0.03091728687286377,0.08547452092170715
0,0,1,0,0,ADR[6],826379,15,0.004182785749435425,0.05573540925979614,0.7097314596176147,0.013666152954101562,0.445696622133255
0,0,0,0,0,NEUTRAL,826379,3,0.010174781084060669,0.00621265172958374,0.007412970066070557,0.04518553614616394,0.024887293577194214
0,0,0,1,0,DI[1],2540685,1,0.2488909661769867,0.0054939985275268555,0.012073099613189697,0.9870339632034302,0.01334160566329956
1,0,0,0,0,EF[3],2540685,2,0.9822036027908325,0.01550513505935669,0.031040579080581665,0.9716074466705322,0.032792091369628906
0,0,0,1,0,DI[2],2540685,5,0.014606505632400513,0.009734094142913818,0.009075939655303955,0.9798204302787781,0.018446266651153564
0,0,0,0,0,NEUTRAL,2540685,8,0.24998661875724792,0.004329860210418701,0.004977494478225708,0.9181115627288818,0.007129877805709839
0,0,0,1,0,DI[4],1133905,2,0.008636116981506348,0.013177216053009033,0.010367393493652344,0.012615382671356201,0.05601802468299866
0,0,1,0,0,ADR[2],1133905,4,0.024652212858200073,0.016286730766296387,0.5965299010276794,0.050958722829818726,0.7484939098358154
0,0,1,0,0,ADR[3],1133905,5,0.11133211851119995,0.036650508642196655,0.9860550165176392,0.33958888053894043,0.06441184878349304
0,0,1,0,0,ADR[1],1133905,6,0.08596187829971313,0.0031867027282714844,0.012891530990600586,0.017597496509552002,0.019954204559326172
0,0,0,0,0,NEUTRAL,1133905,7,0.03485521674156189,0.45949965715408325,0.012129724025726318,0.004637092351913452,0.01796630024909973
1,0,0,1,0,EF[2]|DI[3],2402827,2,0.9824561476707458,0.14984816312789917,0.01489970088005066,0.9132506251335144,0.04307118058204651
0,0,0,1,0,DI[1],2402827,3,0.01567840576171875,0.014706820249557495,0.006326526403427124,0.9777489900588989,0.01649966835975647
1,0,0,0,0,EF[4],2402827,7,0.9791098237037659,0.03597068786621094,0.028882265090942383,0.01832813024520874,0.02199813723564148
0,0,0,0,0,NEUTRAL,2402827,1,0.009372025728225708,0.004210084676742554,0.006403744220733643,0.11741116642951965,0.025100141763687134
0,0,1,0,0,ADR[1],1417439,3,0.006628662347793579,0.006605565547943115,0.02225014567375183,0.9617111682891846,0.10818815231323242
0,0,1,0,0,ADR[2],1417439,4,0.09323713183403015,0.1797620952129364,0.7471792697906494,0.9947918057441711,0.14963233470916748
0,0,0,1,0,DI[3],1417439,7,0.22878825664520264,0.008848577737808228,0.007127583026885986,0.9832097291946411,0.014143139123916626
0,0,0,0,0,NEUTRAL,1417439,1,0.23801708221435547,0.0029959380626678467,0.0064370036125183105,0.09099230170249939,0.008357703685760498
0,0,0,0,1,Finding[6],2729929,4,0.032411128282547,0.008346199989318848,0.7967524528503418,0.013770580291748047,0.2034555971622467
0,1,0,0,0,INF[3],2729929,5,0.025929123163223267,0.9693705439567566,0.0255545973777771,0.03415694832801819,0.029194146394729614
0,1,0,1,1,INF[2]|DI[4]|Finding[5],2729929,6,0.020686477422714233,0.989983081817627,0.05806812644004822,0.379411906003952,0.06436297297477722
0,1,0,0,0,INF[1],2729929,7,0.00832328200340271,0.3039175868034363,0.10432735085487366,0.014306783676147461,0.8294419050216675
0,0,0,0,0,NEUTRAL,2729929,1,0.007874280214309692,0.009896785020828247,0.011346131563186646,0.9776755571365356,0.041358739137649536
0,1,1,0,0,INF[1]|ADR[2],807762,1,0.9878184795379639,0.027333468198776245,0.07924747467041016,0.9838692545890808,0.07849052548408508
0,0,0,0,0,NEUTRAL,807762,2,0.007368922233581543,0.01709243655204773,0.018855810165405273,0.011105537414550781,0.20171508193016052
0,0,0,0,1,Finding[4],804874,1,0.013786286115646362,0.01482197642326355,0.04537743330001831,0.05594092607498169,0.683011531829834
0,0,0,0,1,Finding[1],804874,4,0.004404634237289429,0.21964150667190552,0.02022150158882141,0.4606420695781708,0.6484540104866028
0,0,0,0,1,Finding[2],804874,5,0.006827235221862793,0.06526228785514832,0.013692259788513184,0.9802024364471436,0.056026071310043335
0,0,0,0,1,Finding[3],804874,6,0.020690351724624634,0.0183275043964386,0.9665061831474304,0.06846857070922852,0.060279786586761475
0,0,0,0,0,NEUTRAL,804874,3,0.5866308212280273,0.009075939655303955,0.01645943522453308,0.01059335470199585,0.01032307744026184
0,0,0,1,0,DI[1],1033114,1,0.01865994930267334,0.0069463253021240234,0.011566251516342163,0.9846229553222656,0.027301877737045288
0,0,0,0,1,Finding[3],1033114,4,0.07464396953582764,0.0034540295600891113,0.013156354427337646,0.9790908694267273,0.022123128175735474
0,0,0,0,1,Finding[2],1033114,6,0.015441805124282837,0.01338893175125122,0.9402663707733154,0.03152400255203247,0.08663293719291687
0,0,1,0,0,ADR[5],1033114,10,0.05259263515472412,0.022540926933288574,0.9675014019012451,0.03239452838897705,0.0340801477432251
0,0,1,0,0,ADR[4],1033114,13,0.03394165635108948,0.0015857219696044922,0.013250529766082764,0.10379987955093384,0.023899167776107788
0,0,0,0,0,NEUTRAL,1033114,14,0.02259919047355652,0.013343334197998047,0.008112728595733643,0.017351776361465454,0.01333683729171753
0,0,0,1,0,DI[6],619561,1,0.017393022775650024,0.008118510246276855,0.00750848650932312,0.974786639213562,0.015588968992233276
0,0,0,1,0,DI[5],619561,2,0.012561768293380737,0.008180171251296997,0.024338245391845703,0.011798262596130371,0.17519688606262207
0,0,0,1,0,DI[3],619561,3,0.006118744611740112,0.014406025409698486,0.02569901943206787,0.5291328430175781,0.563438892364502
0,0,0,1,0,DI[2],619561,4,0.006961733102798462,0.00589326024055481,0.009523957967758179,0.050730615854263306,0.10002133250236511
0,0,0,0,1,Finding[7],619561,6,0.9145678281784058,0.004012644290924072,0.016654998064041138,0.8661484122276306,0.02020290493965149
1,0,0,0,0,EF[8],619561,7,0.46423155069351196,0.01769077777862549,0.010728120803833008,0.010114550590515137,0.007893800735473633
1,0,0,1,0,EF[4]|DI[1],619561,8,0.986726701259613,0.012768149375915527,0.030335217714309692,0.23314309120178223,0.016640454530715942
1,0,0,0,0,EF[9],619561,9,0.912851095199585,0.01604902744293213,0.019115746021270752,0.020522505044937134,0.010778307914733887
0,0,0,0,0,NEUTRAL,619561,5,0.01625370979309082,0.01431301236152649,0.00864344835281372,0.016497403383255005,0.01603478193283081
0,0,0,1,0,DI[3],2397151,2,0.025720924139022827,0.007243037223815918,0.008764296770095825,0.9812555313110352,0.015081286430358887
0,0,0,1,0,DI[1],2397151,4,0.01007339358329773,0.008441686630249023,0.012079328298568726,0.9783679246902466,0.04784870147705078
0,0,0,1,0,DI[2],2397151,5,0.03889539837837219,0.24345040321350098,0.9746934771537781,0.9017947912216187,0.21013963222503662
0,0,0,0,0,NEUTRAL,2397151,12,0.015428155660629272,0.975710391998291,0.0389731228351593,0.038677990436553955,0.04853421449661255
0,0,0,1,0,DI[1],2419250,1,0.006255298852920532,0.009612858295440674,0.01264798641204834,0.970392107963562,0.06357899308204651
0,0,0,1,0,DI[3],2419250,2,0.02188757061958313,0.5261233448982239,0.011810004711151123,0.9863928556442261,0.028741657733917236
0,1,0,1,0,INF[6]|DI[4],2419250,4,0.025661319494247437,0.98239666223526,0.04069212079048157,0.5235940217971802,0.029651880264282227
0,0,1,0,0,ADR[2],2419250,5,0.008727103471755981,0.026706725358963013,0.5988722443580627,0.017924576997756958,0.6908407211303711
0,1,0,0,0,INF[5],2419250,6,0.12738701701164246,0.9635661244392395,0.023680955171585083,0.01730683445930481,0.022025078535079956
