EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,1,0,0,0,INF[6],591900,4,0.1702689826488495,0.7495808005332947,0.02442869544029236,0.36432981491088867,0.16858774423599243
0,1,0,0,0,INF[3],591900,5,0.16361889243125916,0.8448226451873779,0.04699254035949707,0.047602713108062744,0.06153842806816101
0,1,0,0,0,INF[7],591900,6,0.39790263772010803,0.07398131489753723,0.07568639516830444,0.9660049676895142,0.15137609839439392
0,1,0,0,0,INF[2],591900,7,0.2906559109687805,0.8324316740036011,0.044393062591552734,0.031401604413986206,0.05325198173522949
0,0,0,0,0,NEUTRAL,591900,2,0.5567020773887634,0.10118302702903748,0.04198533296585083,0.019861698150634766,0.03948435187339783
1,0,0,0,0,EF[3],2663253,4,0.7337794899940491,0.17844343185424805,0.05780866742134094,0.03286221623420715,0.057725876569747925
0,0,0,1,0,DI[1],2663253,5,0.07370370626449585,0.025564074516296387,0.029725849628448486,0.8831542730331421,0.050231218338012695
1,0,0,0,0,EF[6],2663253,9,0.7999091744422913,0.2919173240661621,0.09150156378746033,0.03629007935523987,0.07618653774261475
1,0,0,0,0,EF[4],2663253,10,0.5929895639419556,0.08854958415031433,0.04778549075126648,0.02363833785057068,0.03908148407936096
1,0,0,0,0,EF[2],2663253,11,0.6322216987609863,0.10920920968055725,0.050598740577697754,0.020725339651107788,0.04773682355880737
0,0,0,1,0,DI[5],2663253,12,0.10352739691734314,0.029144465923309326,0.02884364128112793,0.933379054069519,0.057451218366622925
0,0,0,0,0,NEUTRAL,2663253,2,0.08819183707237244,0.028545767068862915,0.048025697469711304,0.0510866641998291,0.029215484857559204
0,0,0,1,0,DI[7],832817,1,0.1732763946056366,0.042191267013549805,0.029792219400405884,0.9593529105186462,0.07199448347091675
0,0,0,1,0,DI[10],832817,2,0.49134987592697144,0.1882011890411377,0.38713982701301575,0.767214298248291,0.3847125470638275
0,0,0,1,0,DI[3],832817,3,0.2396814227104187,0.4346310496330261,0.02482783794403076,0.9291778802871704,0.14399445056915283
0,0,0,1,0,DI[9],832817,4,0.19264692068099976,0.07004079222679138,0.026893317699432373,0.9657818675041199,0.0928906798362732
