#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Прочитав много отзывов об аллергических реакциях, решила принять пол таблетки Амиксина.
1-1	0-8	Прочитав	_	_	_	_	
1-2	9-14	много	_	_	_	_	
1-3	15-22	отзывов	_	_	_	_	
1-4	23-25	об	_	_	_	_	
1-5	26-39	аллергических	_	_	_	_	
1-6	40-48	реакциях	_	_	_	_	
1-7	48-49	,	_	_	_	_	
1-8	50-56	решила	_	_	_	_	
1-9	57-64	принять	_	_	_	_	
1-10	65-68	пол	_	_	_	_	
1-11	69-77	таблетки	*	Drugform	_	_	
1-12	78-86	Амиксина	*	Drugname	_	_	
1-13	86-87	.	_	_	_	_	

#Text=Так как я сильный аллергик, ждала чего-то страшного, но, слава Богу, не было никаких ощутимых побочных реакций.
2-1	88-91	Так	_	_	_	_	
2-2	92-95	как	_	_	_	_	
2-3	96-97	я	_	_	_	_	
2-4	98-105	сильный	_	_	_	_	
2-5	106-114	аллергик	*	Other	_	_	
2-6	114-115	,	_	_	_	_	
2-7	116-121	ждала	_	_	_	_	
2-8	122-129	чего-то	_	_	_	_	
2-9	130-139	страшного	_	_	_	_	
2-10	139-140	,	_	_	_	_	
2-11	141-143	но	_	_	_	_	
2-12	143-144	,	_	_	_	_	
2-13	145-150	слава	_	_	_	_	
2-14	151-155	Богу	_	_	_	_	
2-15	155-156	,	_	_	_	_	
2-16	157-159	не	_	_	_	_	
2-17	160-164	было	_	_	_	_	
2-18	165-172	никаких	_	_	_	_	
2-19	173-181	ощутимых	_	_	_	_	
2-20	182-190	побочных	_	_	_	_	
2-21	191-198	реакций	_	_	_	_	
2-22	198-199	.	_	_	_	_	

#Text=Два дня Септефрил принимала, на ночь выпила Флю-колд, утром Амиксин, и что-то из них мне помогло.
3-1	200-203	Два	_	_	*->1-1	EF[1]	
3-2	204-207	дня	_	_	*->1-1	EF[1]	
3-3	208-217	Септефрил	*	Drugname	*->1-1	EF[1]	
3-4	218-227	принимала	_	_	*->1-1	EF[1]	
3-5	227-228	,	_	_	*->1-1	EF[1]	
3-6	229-231	на	_	_	*->1-1	EF[1]	
3-7	232-236	ночь	_	_	*->1-1	EF[1]	
3-8	237-243	выпила	_	_	*->1-1	EF[1]	
3-9	244-252	Флю-колд	*	Drugname	*->1-1	EF[1]	
3-10	252-253	,	_	_	*->1-1	EF[1]	
3-11	254-259	утром	_	_	*->1-1	EF[1]	
3-12	260-267	Амиксин	*	Drugname	*->1-1	EF[1]	
3-13	267-268	,	_	_	*->1-1	EF[1]	
3-14	269-270	и	_	_	*->1-1	EF[1]	
3-15	271-277	что-то	_	_	*->1-1	EF[1]	
3-16	278-280	из	_	_	*->1-1	EF[1]	
3-17	281-284	них	_	_	*->1-1	EF[1]	
3-18	285-288	мне	_	_	*->1-1	EF[1]	
3-19	289-296	помогло	_	_	*->1-1	EF[1]	
3-20	296-297	.	_	_	*->1-1	EF[1]	
