#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=У меня часто болеющий ребенок.
1-1	0-1	У	_	_	
1-2	2-6	меня	_	_	
1-3	7-12	часто	_	_	
1-4	13-21	болеющий	_	_	
1-5	22-29	ребенок	_	_	
1-6	29-30	.	_	_	

#Text=Врач- аллерголог назначила нам этот препарат, как профилактическое средство.
2-1	31-36	Врач-	_	_	
2-2	37-47	аллерголог	_	_	
2-3	48-57	назначила	_	_	
2-4	58-61	нам	_	_	
2-5	62-66	этот	_	_	
2-6	67-75	препарат	_	_	
2-7	75-76	,	_	_	
2-8	77-80	как	_	_	
2-9	81-97	профилактическое	*	DI	
2-10	98-106	средство	_	_	
2-11	106-107	.	_	_	

#Text=Тремя курсами- 10 таблеток в течении 10-ти дней, затем 20 дней перерыв и схема приема возобновляется.
3-1	108-113	Тремя	_	_	
3-2	114-122	курсами-	_	_	
3-3	123-125	10	_	_	
3-4	126-134	таблеток	*	Drugform	
3-5	135-136	в	_	_	
3-6	137-144	течении	_	_	
3-7	145-150	10-ти	_	_	
3-8	151-155	дней	_	_	
3-9	155-156	,	_	_	
3-10	157-162	затем	_	_	
3-11	163-165	20	_	_	
3-12	166-170	дней	_	_	
3-13	171-178	перерыв	_	_	
3-14	179-180	и	_	_	
3-15	181-186	схема	_	_	
3-16	187-193	приема	_	_	
3-17	194-208	возобновляется	_	_	
3-18	208-209	.	_	_	

#Text=После трех дней приема у ребенка ужасно разболелось горло, затем ухо, затем другое ухо, поднялась температура.
4-1	210-215	После	_	_	
4-2	216-220	трех	_	_	
4-3	221-225	дней	_	_	
4-4	226-232	приема	_	_	
4-5	233-234	у	_	_	
4-6	235-242	ребенка	_	_	
4-7	243-249	ужасно	_	_	
4-8	250-261	разболелось	*[1]	ADR[1]	
4-9	262-267	горло	*[1]	ADR[1]	
4-10	267-268	,	_	_	
4-11	269-274	затем	_	_	
4-12	275-278	ухо	_	_	
4-13	278-279	,	_	_	
4-14	280-285	затем	_	_	
4-15	286-292	другое	_	_	
4-16	293-296	ухо	_	_	
4-17	296-297	,	_	_	
4-18	298-307	поднялась	_	_	
4-19	308-319	температура	*	ADR	
4-20	319-320	.	_	_	

#Text=На тот момент я не заподозрила, что такая реакция на препарат.
5-1	321-323	На	_	_	
5-2	324-327	тот	_	_	
5-3	328-334	момент	_	_	
5-4	335-336	я	_	_	
5-5	337-339	не	_	_	
5-6	340-351	заподозрила	_	_	
5-7	351-352	,	_	_	
5-8	353-356	что	_	_	
5-9	357-362	такая	_	_	
5-10	363-370	реакция	_	_	
5-11	371-373	на	_	_	
5-12	374-382	препарат	_	_	
5-13	382-383	.	_	_	

#Text=Лечила ребенка и продалжала давать ей Исмиген.
6-1	384-390	Лечила	_	_	
6-2	391-398	ребенка	_	_	
6-3	399-400	и	_	_	
6-4	401-411	продалжала	_	_	
6-5	412-418	давать	_	_	
6-6	419-421	ей	_	_	
6-7	422-429	Исмиген	*	Drugname	
6-8	429-430	.	_	_	

#Text=В результате болезнь была затяжной.
7-1	431-432	В	_	_	
7-2	433-443	результате	_	_	
7-3	444-451	болезнь	_	_	
7-4	452-456	была	_	_	
7-5	457-465	затяжной	_	_	
7-6	465-466	.	_	_	

#Text=Прошло 20 дней.
8-1	467-473	Прошло	_	_	
8-2	474-476	20	_	_	
8-3	477-481	дней	_	_	
8-4	481-482	.	_	_	

#Text=Снова даю Исмиген и снова на третий день боль в горле.
9-1	483-488	Снова	_	_	
9-2	489-492	даю	_	_	
9-3	493-500	Исмиген	*	Drugname	
9-4	501-502	и	_	_	
9-5	503-508	снова	_	_	
9-6	509-511	на	_	_	
9-7	512-518	третий	_	_	
9-8	519-523	день	_	_	
9-9	524-528	боль	*[2]	ADR[2]	
9-10	529-530	в	*[2]	ADR[2]	
9-11	531-536	горле	*[2]	ADR[2]	
9-12	536-537	.	_	_	

#Text=Получается от препарата ни только нет пользы, но и вред?!
10-1	538-548	Получается	_	_	
10-2	549-551	от	_	_	
10-3	552-561	препарата	_	_	
10-4	562-564	ни	_	_	
10-5	565-571	только	_	_	
10-6	572-575	нет	_	_	
10-7	576-582	пользы	_	_	
10-8	582-583	,	_	_	
10-9	584-586	но	_	_	
10-10	587-588	и	_	_	
10-11	589-593	вред	_	_	
10-12	593-594	?	_	_	
10-13	594-595	!	_	_	
10-14	594-595	!	_	_	

#Text=!
