#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Добрый день!
1-1	0-6	Добрый	_	_	_	_	
1-2	7-11	день	_	_	_	_	
1-3	11-12	!	_	_	_	_	

#Text=Хочу поделиться своим впечатлением валерианы, которую не так давно мне пришлось пить каждый день на работе, нервы настолько мне сорвали, что только валерьянку пить и оставалось.
2-1	13-17	Хочу	_	_	_	_	
2-2	18-28	поделиться	_	_	_	_	
2-3	29-34	своим	_	_	_	_	
2-4	35-47	впечатлением	_	_	_	_	
2-5	48-57	валерианы	*	Drugname	_	_	
2-6	57-58	,	_	_	_	_	
2-7	59-66	которую	_	_	_	_	
2-8	67-69	не	_	_	_	_	
2-9	70-73	так	_	_	_	_	
2-10	74-79	давно	_	_	_	_	
2-11	80-83	мне	_	_	_	_	
2-12	84-92	пришлось	_	_	_	_	
2-13	93-97	пить	_	_	_	_	
2-14	98-104	каждый	_	_	_	_	
2-15	105-109	день	_	_	_	_	
2-16	110-112	на	_	_	_	_	
2-17	113-119	работе	_	_	_	_	
2-18	119-120	,	_	_	_	_	
2-19	121-126	нервы	*	DI	_	_	
2-20	127-136	настолько	_	_	_	_	
2-21	137-140	мне	_	_	_	_	
2-22	141-148	сорвали	_	_	_	_	
2-23	148-149	,	_	_	_	_	
2-24	150-153	что	_	_	_	_	
2-25	154-160	только	_	_	_	_	
2-26	161-171	валерьянку	*	Drugname	_	_	
2-27	172-176	пить	_	_	_	_	
2-28	177-178	и	_	_	_	_	
2-29	179-189	оставалось	_	_	_	_	
2-30	189-190	.	_	_	_	_	

#Text=Настойка валерианы в аптеке была куплена буквально за копейки, до 10 грн.
3-1	191-199	Настойка	*[1]	Drugname[1]	_	_	
3-2	200-209	валерианы	*[1]	Drugname[1]	_	_	
3-3	210-211	в	_	_	_	_	
3-4	212-218	аптеке	_	_	_	_	
3-5	219-223	была	_	_	_	_	
3-6	224-231	куплена	_	_	_	_	
3-7	232-241	буквально	_	_	_	_	
3-8	242-244	за	_	_	_	_	
3-9	245-252	копейки	_	_	_	_	
3-10	252-253	,	_	_	_	_	
3-11	254-256	до	_	_	_	_	
3-12	257-259	10	_	_	_	_	
3-13	260-263	грн	_	_	_	_	
3-14	263-264	.	_	_	_	_	

#Text=где-то, уже точно не помню даже, но помогает хорошо.
4-1	265-271	где-то	_	_	*->1-1	EF[1]	
4-2	271-272	,	_	_	*->1-1	EF[1]	
4-3	273-276	уже	_	_	*->1-1	EF[1]	
4-4	277-282	точно	_	_	*->1-1	EF[1]	
4-5	283-285	не	_	_	*->1-1	EF[1]	
4-6	286-291	помню	_	_	*->1-1	EF[1]	
4-7	292-296	даже	_	_	*->1-1	EF[1]	
4-8	296-297	,	_	_	*->1-1	EF[1]	
4-9	298-300	но	_	_	*->1-1	EF[1]	
4-10	301-309	помогает	_	_	*->1-1	EF[1]	
4-11	310-316	хорошо	_	_	*->1-1	EF[1]	
4-12	316-317	.	_	_	*->1-1	EF[1]	

#Text=Она обладает хорошим успокаивающим и понижающим средством, которое для организма безвредно, хотя имеет некоторые побочные эффекты - сонливость, частичная потеря работоспособности и бодрости, туманное состояние.
5-1	318-321	Она	_	_	_	_	
5-2	322-330	обладает	_	_	_	_	
5-3	331-338	хорошим	_	_	_	_	
5-4	339-352	успокаивающим	*	Drugclass	_	_	
5-5	353-354	и	_	_	_	_	
5-6	355-365	понижающим	*	Drugclass	_	_	
5-7	366-375	средством	_	_	_	_	
5-8	375-376	,	_	_	_	_	
5-9	377-384	которое	_	_	_	_	
5-10	385-388	для	_	_	_	_	
5-11	389-398	организма	_	_	_	_	
5-12	399-408	безвредно	_	_	_	_	
5-13	408-409	,	_	_	_	_	
5-14	410-414	хотя	_	_	_	_	
5-15	415-420	имеет	_	_	_	_	
5-16	421-430	некоторые	_	_	_	_	
5-17	431-439	побочные	*[2]	ADR[2]	_	_	
5-18	440-447	эффекты	*[2]	ADR[2]	_	_	
5-19	448-449	-	_	_	_	_	
5-20	450-460	сонливость	*	ADR	_	_	
5-21	460-461	,	_	_	_	_	
5-22	462-471	частичная	*[3]	ADR[3]	_	_	
5-23	472-478	потеря	*[3]	ADR[3]	_	_	
5-24	479-496	работоспособности	*[3]	ADR[3]	_	_	
5-25	497-498	и	*[3]	ADR[3]	_	_	
