sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
"Нам не помогал, болели часто.",0,1,0,0,0,INF[2],2448225,3,122,151
"Второй раз энцефабол выписали уже в возрасте 2,5 года при задержке речевого развития, причем дозу даже меньшую, чем мы пили в два месяца.",0,0,0,1,0,DI[3],1740396,5,253,390
"Короче наоборот заразили нашего ребенка и «ушатали» иммунитет ребенку, теперь он у нас каждые две недели простывает, до этого вообще ни чем, ни разу не болел.",0,0,0,1,0,DI[2]|Finding[1],2525808,4,357,515
"Как то в последнее время стала замечать, что нервничаю много, срываюсь на всех, ночью мучает бессонница.",0,0,0,1,0,DI[7],76765,1,0,104
Но мы принимали против герпетической инфекции.,0,0,0,1,0,DI[9],6430802,28,1790,1836
"Скажу сразу, как сказала мне одна знакомая - медик, на Украине нет эпидемии полиомиелита, она лично читала документы, и отчеты.",0,0,0,1,0,DI[2],2692315,2,137,264
"В состав порошка входит ""убойная"" доза витамина С, который является главным в борьбе с простудой и гриппом.",0,0,0,1,0,DI[4],950351,5,339,446
А вот в следующий раз (прошло примерно полгода или чуть больше) во время обострения гастродуоденита препарат действует совсем по-другому.,0,0,0,1,0,DI[7],2653333,4,198,335
"Вроде бы и нагрузки никакой нет, а сердце бьется непривычно часто, как будто ты только что догонял уходящий автобус.",0,0,1,0,0,ADR[2],2693866,12,504,620
"Мы живем в сплошной химии, еще и лекарства детские красим.",0,0,0,0,0,NEUTRAL,2519044,8,634,692
"По мне, так это пустышка, которая может обладать только эффектом плацебо.",0,1,0,0,0,INF[1],2729929,7,473,546
"На третьей таблетке самое интересное началось... не сразу понял, что всё это от Ликопида, не мог поверить, но четвёртый приём 10 мг.",0,0,1,0,0,ADR[2],5326845,3,399,488
А на щеках выступило какое-то высыпание.,0,0,1,0,0,ADR[5],594098,6,352,392
Поэтому мы старались больше пяти дней ею нос не мазать.,0,0,0,0,0,NEUTRAL,656330,5,310,365
"вечером дико хочу спать, но как только ложусь - всё, глаза в потолок, сна как не бывало.",0,0,0,1,0,DI[8],929986,3,71,159
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,128,148
"Разводить лучше горячей, не не кипяченной водой.",0,0,0,0,0,NEUTRAL,2410173,5,361,409
"У меня заболела дочка ОРВИ и врачиха прописала нам Орвирем, но ничего хорошего из этого не вышло, к сожалению!!!",0,0,0,1,0,DI[1],1605602,1,0,112
"В жизни каждого из нас бывают ситуации когда мы выходим из себя, злимся, ругаемся.",0,0,0,1,0,DI[2],2513399,2,22,104
"""Анвимакс"" очень разрекламированное средство при простуде, покупала я его один раз, как почувствовала, что я начинаю заболевать.",0,0,0,1,0,DI[3],2477731,1,0,128
"Первый раз нам выписали энцефабол в возрасте 2 месяца, так как у ребенка была родовая травма.",0,0,0,1,0,DI[1],1740396,1,0,93
Поставила я эту свечку сыну на ночь.,0,0,0,0,0,NEUTRAL,1268796,4,203,239
Ужасный неэффективный препарат!,0,0,0,0,0,NEUTRAL,2461263,4,166,197
"Очень радует цена на данный препарат - это не заоблачная тысяча с лишним, а вполне доступные 129 рублей за 20 капсул по 100 мг.",0,0,0,0,0,NEUTRAL,2718482,3,183,310
