sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
"В приёмной, сразу же ребёнку укололи жаропонижающее и отправили спать.",0,0,0,0,0,NEUTRAL,1263039,2,118,188
"Второй раз энцефабол выписали уже в возрасте 2,5 года при задержке речевого развития, причем дозу даже меньшую, чем мы пили в два месяца.",0,0,0,1,0,DI[3],1740396,5,253,390
"Детский врач нам его советовала 4-х летнему ребенку, для снятия повышенной возбуждености и спокойного сна.",0,0,0,1,0,DI[2],878817,4,420,526
Порой подташнивает от его его применения.,0,0,1,0,0,ADR[2],2738498,8,420,461
Как настроишь себя так и будет называется.,0,0,0,0,0,NEUTRAL,2684706,5,504,546
"Мы использовали препарат в ампулах, разводили его водой и переливали во флакончик с пульвилизатором (купила в аптеке за 29р.).",0,0,0,0,0,NEUTRAL,877244,5,570,696
В последние годы простудные заболевания всё чаще и чаще проникают в мой организм.,0,0,0,1,0,DI[3],811523,1,0,81
"Сейчас, когда ребенок подрос, иногда даю ему таблеточку для успокоения, обычно тоже вечером, для засыпания.",0,0,0,1,0,DI[7],822352,5,275,382
"Так вот этот не то что ей не помог, еще и усугубил ситуацию за счет экстракта той самой мяты, которая тоже является аллергеном.",0,1,0,0,0,INF[2]|Finding[6],2408295,7,346,473
Очень большим недостатком является сильные серьезные побочные эффекты.,0,0,0,0,0,NEUTRAL,2755968,4,426,496
"По мне, так это пустышка, которая может обладать только эффектом плацебо.",0,1,0,0,0,INF[1],2729929,7,473,546
"На третьей таблетке самое интересное началось... не сразу понял, что всё это от Ликопида, не мог поверить, но четвёртый приём 10 мг.",0,0,1,0,0,ADR[2],5326845,3,399,488
А на щеках выступило какое-то высыпание.,0,0,1,0,0,ADR[5],594098,6,352,392
Поэтому мы старались больше пяти дней ею нос не мазать.,0,0,0,0,0,NEUTRAL,656330,5,310,365
"Второй раз тоже помогло сразу, а вот на третий после 3 таблетки стало лучше, даже может это уже и не Лавомакс помог так как уже был 4 день простуды, она в принципе сама уже должна была сойти на нет.",1,0,0,1,0,EF[4]|DI[6],612803,6,435,633
Общее впечатление : Отличное средство RATING 4 NOTE,0,0,0,0,0,NEUTRAL,875711,12,777,814
Пришла я к нему с жалобами на хроническую усталость и проблемы с засыпанием.,0,0,0,1,0,DI[3],2662915,2,47,123
"Этот сироп может применяться как для профилактики, так и для раннего лечения ОРВИ и Гриппа.",0,0,0,1,0,DI[4],2555494,4,162,253
"Не лечить, а предотвращать болезни простудного и вирусного характера!!",0,0,0,0,0,NEUTRAL,3396668,10,595,665
"Нос конечно, еще мучает, но для него есть и другие лекарства, а то, что нет ломоты и температуры, я все могу делать-это плюс!",1,0,0,1,0,EF[5]|DI[1],2424679,11,660,785
"Первый раз нам выписали энцефабол в возрасте 2 месяца, так как у ребенка была родовая травма.",0,0,0,1,0,DI[1],1740396,1,0,93
Получается выкинутые деньги на ветер.,0,0,0,0,0,NEUTRAL,2658215,3,138,175
Ужасный неэффективный препарат!,0,0,0,0,0,NEUTRAL,2461263,4,166,197
Восемь лет назад меня сильно беспокоил ринит неясной этилогии и врач - иммунолог выписала мне суперэффективный гипоаллергенный препарат Полиоксидоний для закапывания в нос.,0,0,0,1,0,DI[3],3188437,3,132,304
Вот только второму я этот препарат не капала.,0,0,0,0,0,NEUTRAL,656249,4,240,285
"Первые три дня всё было хорошо, почти исчезло головокружение и давление было в норме.",1,0,0,1,0,EF[3]|DI[5],2551330,5,325,410
Стоит ли таким мощным препаратом лечить грипп и тем более пить его для профилактики - большой вопрос.,0,0,0,1,0,DI[2]|Finding[1],1263885,6,449,550
"Нашла решение в донормиле, выпиваешь - засыпаешь!",1,0,0,0,0,EF[3],108315,4,220,269
"Стала спокойной даже чересчур, на работе стала тупить, коллеги сказали что я какая то заторможенная, все время клонит в сон.",0,0,1,1,0,ADR[1]|DI[2],1037212,3,67,191
Поэтому часто покупаю капли Фенистил и крем.,0,0,0,0,0,NEUTRAL,2490571,2,60,104
Лечить ею депрессивные состояния это всё равно что лечить грипп витаминами.,0,0,0,1,0,DI[3]|Finding[2],579743,2,26,101
"Парацетамол снимет жар и головную боль, а аскорбиновая кислота-это витамин.",0,0,0,1,0,DI[2],587207,4,224,299
"Я сама нередко применяю его как успокоительное средство, при тревожных состояниях.",0,0,0,1,0,DI[2],598445,4,355,437
Время использования: от 5 дней до 6 месяцев,0,0,0,0,0,NEUTRAL,273783,13,812,855
"В анафероне я полностью разочарована, считаю его БЕСПОЛЕЗНЫМ!",0,1,0,0,0,INF[4],2418485,11,810,871
"Дочка (1.2года) заболела, кашель, сопли желто-зеленые ручьем текут, только вытру, а они опять до рта дотекли... Вызвали врача, та там помимо кучи лекарств выписала ИРС 19... Пошла купила, дорогой, 450 рублей за него отдала, думала что раз такой дорогой, то точно должен вылечить мне дочку.",0,0,0,1,0,DI[1],589250,1,0,289
Весна - время простуды.,0,0,0,1,0,DI[3],913556,1,0,23
"Но в качестве побочных эффектов указаны: одышка, раздражение горла, головная боль, колебания давления, тошнота, рвота, изжога, боль в животе, диарея.",0,0,0,0,0,NEUTRAL,1484511,4,456,605
"Амизон - таблетки желтого цвета, горькие на вкус.",0,0,0,0,0,NEUTRAL,580741,6,380,429
"у маленкий ребенок, 1 год, простыли кашель сопли рекой, температура 38,5 ну и сразу вызвали детского педиатора на дом, нам прописал и свечи Генферон лайт.",0,0,0,1,0,DI[2],2688660,2,14,168
"Когда корочка отпала, остался маленький рубчик.",0,0,1,0,0,ADR[4],1033114,13,818,865
Прием Ацикловира прекратила и вот уже 4 дня безуспешно борюсь с крапивницей,0,0,1,0,0,ADR[11],2177673,10,742,817
А вот в следующий раз (прошло примерно полгода или чуть больше) во время обострения гастродуоденита препарат действует совсем по-другому.,0,0,0,1,0,DI[7],2653333,4,198,335
"Когда принимаешь его, кружится голова, давление скачет и если принимаешь продолжительное время, самое неприятное попадаешь в зависимость.",0,0,1,0,0,ADR[3],877448,5,404,541
Наш малыш начал говорить по два три слова в предложении.,1,0,0,0,0,EF[2],2460790,7,592,648
Общее впечатление : Результат хороший при комплексном лечении.,1,0,0,0,0,EF[7],591673,9,889,951
Мы конечно все купили.,0,0,0,0,0,NEUTRAL,1068061,3,156,178
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,128,148
"В общем это хорошее средство от герпеса, но его нужно принимать курсом.",1,0,0,1,0,EF[8]|DI[7],609507,22,926,997
Как не странно простуда прошла.,1,0,0,1,0,EF[1]|DI[4],1400882,8,655,686
Капли Грипферон всегда есть в моей аптечке - точнее в холодильнике.,0,0,0,0,0,NEUTRAL,2540685,8,552,619
"Он мне раза три помог, а потом перестал помогать.",1,1,0,0,0,EF[5]|INF[10],609507,14,564,613
Таких цен раньше не встречала.,0,0,0,0,0,NEUTRAL,1086939,16,906,936
"Сейчас постоянно пить бросила, а пользуюсь только в стрессовых ситуациях.",0,0,0,1,0,DI[3],264987,9,689,762
При ходьбе он заворачивал ножку внутрь.,0,0,0,1,0,DI[5],619561,2,81,120
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,1,0,INF[5]|DI[2],2491250,6,504,558
На глаз никаких изменений не наблюдала.,0,1,0,0,0,INF[1],591856,12,529,568
С недавних пор начала страдать появлением герпеса на губах.,0,0,0,1,0,DI[7],832817,1,0,59
Он нормализует мозговое кровообращение.,1,0,1,0,0,EF[4]|ADR[15],2445498,12,742,781
Свечи на основе интерферона.,0,0,0,0,0,NEUTRAL,391573,6,190,218
Нос не пробивает абсолютно !!!,0,1,0,0,0,INF[3],265385,2,40,70
"Улучшился сон, если раньше он частенько просыпался по ночам и не мог уснуть, то сейчас он спит гораздо спокойнее.",1,0,1,1,0,EF[5]|ADR[4]|DI[2],2463217,6,536,649
"Пробовала заменить на пастилки, мне показалось, капли лучше помогают.",1,0,0,0,0,EF[7],643275,17,907,976
Общее впечатление : Малоэффективный препарат RATING 3 NOTE,0,1,0,0,0,INF[1],656330,12,617,661
Общее впечатление : Не очень.,0,0,0,0,0,NEUTRAL,632718,3,320,349
"Ни противовирусного, ни какого-то другого действия не имеет.",0,1,0,0,0,INF[4],815444,9,596,656
В первый раз мне его выписали как вспомогательный (успокаивающее средство при лечении гастродуоденита).,0,0,0,1,0,DI[1],2653333,1,0,103
Общее впечатление : При первых признаках простуды -эффективен.,1,0,0,1,0,EF[3]|DI[2],656261,8,802,864
"Препарат ""Меновален"" мне выписал невропатолог.",0,0,0,0,0,NEUTRAL,2662915,1,0,46
Врачи не могли понять от чего.,0,0,0,0,0,NEUTRAL,655424,2,51,81
"С одной стороны да, это опасная болезнь, которая не лечиться, но с другой вакцинация может её вызвать если ребёнок к этому чувствителен!",0,0,0,0,0,NEUTRAL,2692315,1,0,136
Препарат эффективен при любом виде герпетической инфекции - а их как известно целых восемь.,0,0,0,1,0,DI[3],2445572,1,0,91
"Еще есть мазь с аналогичным названием но она менее еффективна чем таблетки, разве что применять их в комплексе.",0,0,0,0,0,NEUTRAL,2412180,4,369,480
Иммунитет поднимает хорошо.,1,0,0,0,0,EF[2],953794,6,407,434
"Ребенка не могла разбудить проснулсябледный, синяки под глазами, встать не может падает, глаза закатываются, от еды отказывается, попил водички и лежать.",0,0,1,0,0,ADR[6],2597892,6,263,416
Пришлось купить его.,0,0,0,0,0,NEUTRAL,2522012,3,48,68
Но пошла аллергия!!!,0,0,1,0,0,ADR[3],3129222,4,119,139
"Боли конечно были, но не такие сильные как по мнению врача, а так как мне делали кесарево, то я первые 2 месяца кроме шва вообще ничего не чувствовала, а потом просто тянул низ живота, я думала это процесс заживления после операции.",0,0,0,1,0,DI[2],880567,3,208,440
"Действие я ощутила, где то, через неделю регулярного приема, но я принимала три препарата одновременно, в отличие от других препаратов у глицина нет побочных действий, можно маленьким детям, доступная цена.",0,0,0,0,0,NEUTRAL,878817,2,136,342
При рецидиве пила только протефлазид.,0,0,0,0,0,NEUTRAL,2734640,12,494,531
"Так же я узнала, что ""Ликопид"", один из немногих иммуностимулирующих средств, который действует несмотря на вирус Герпеса.",0,0,0,1,0,DI[1],255563,8,566,688
Стоит 8.40 рублей.,0,0,0,0,0,NEUTRAL,2443740,6,410,428
"Вылечился и остался доволен, мне вот не так сильно повезло.",1,0,0,0,0,EF[8],2515768,11,687,746
"И я прибегаю к таблеткам 'Вечернее', так как детям нужна спокойная мама.",0,0,0,0,0,NEUTRAL,2738039,17,814,886
"Вот и наступила осень, пора прастуд.",0,0,0,1,0,DI[1],610701,1,0,36
"А чередую я его с нурофеном, когда между приёмами нурофена у ребенка быстро набегает температура, а пить нурофен бывает ещё рано.",0,0,0,1,0,DI[1],2707053,2,211,340
"В первый день я почувствовала недомогание, общее, как будто в полудреме ходила, но списала это на недосып.",0,0,1,0,0,ADR[5]|Finding[1],3022901,3,259,365
"Начала сопеть носиком, сразу начали использывать, брызгала три дня.",0,0,0,1,0,DI[2],613806,7,396,463
"А так даже для профилактики берем, особенно в осенне-зимний период.",0,0,0,1,0,DI[1],639476,10,889,956
"Часто, особенно после напряженного дня, наполненного стрессами и нервными перевозбуждениями (срывами) у меня болел желудок (вернее верхняя его часть как бы каменела и присутствовала тупая боль и тяжесть).",0,0,0,1,0,DI[1],647288,3,196,400
"Не могу сказать, что препарат помог нам, годовалой дочке пыталась дать и с водичкой, и просто, сразу воротило и рвало.",0,0,1,0,0,ADR[1],207209,1,0,118
"Флюколд является бюджетным препаратом для людей, которые не могут себе позволить более эффективные лекарства от гриппа и простуды.",0,0,0,1,0,DI[3],2395998,7,612,742
"Я начала давать дочке препарат, на второй день дочка стала жаловаться на боли в животе.",0,0,1,0,0,ADR[5],2706058,4,198,285
"Итак, жена, при очередном моём заболевании, посоветовала пропить Лавомакс, так как перед этим сама опробовала и ей помогло, а несколько таблеток оставались ещё в пачке.",1,0,0,0,0,EF[2],811523,5,475,643
"На месяц мне хватило 2х упаковок, пусть он и дороже многих успокоительных средств, но эффект от него есть.",1,0,0,0,0,EF[2],2538754,5,315,421
Мой сын с шести месяцев очень часто болел.,0,0,0,0,0,NEUTRAL,697047,1,0,42
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0,DI[7],2491250,3,198,269
"У ребенка начался сильный насморк(нам было 2 месяца), спросила у подружки чем лечились, сказала что прописали свечи Виферон 500000 и промывание.",0,0,0,1,0,DI[5],2509783,1,0,144
"Стоит этот препарат не слишком дорого, а хватает на несколько приемов, поэтому считаю в домашней аптечке обязательно должны быть такие таблетки от простуды.",0,0,0,1,0,DI[1],273111,6,502,658
