EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,1,Finding[3],875711,1,0.015096992254257202,0.010415792465209961,0.015175729990005493,0.9760875105857849,0.011403024196624756
0,0,0,0,1,Finding[4],875711,2,0.025508761405944824,0.016993343830108643,0.007592380046844482,0.9823107123374939,0.01360243558883667
0,0,0,0,1,Finding[5],875711,3,0.012175440788269043,0.00868898630142212,0.0112476646900177,0.014519661664962769,0.015823930501937866
0,0,0,1,0,DI[6],875711,5,0.014689981937408447,0.009648352861404419,0.01109728217124939,0.9682889580726624,0.01096603274345398
1,0,0,1,0,EF[1]|DI[2],875711,8,0.12259307503700256,0.9332971572875977,0.02626177668571472,0.9850935339927673,0.04623490571975708
0,0,0,0,0,NEUTRAL,875711,4,0.19721820950508118,0.3406301736831665,0.00987154245376587,0.004676163196563721,0.008380025625228882
0,1,0,1,0,INF[5]|DI[3],2657172,1,0.02098730206489563,0.03200751543045044,0.004763931035995483,0.9866214394569397,0.03172525763511658
0,0,0,1,0,DI[6],2657172,2,0.025306493043899536,0.06959712505340576,0.0422634482383728,0.9964908361434937,0.06721273064613342
0,0,0,1,0,DI[2],2657172,4,0.012094825506210327,0.009281724691390991,0.007751196622848511,0.9648857116699219,0.017221033573150635
1,1,0,0,0,INF[1]|EF[4],2657172,5,0.5617977380752563,0.028180181980133057,0.004616409540176392,0.01431325078010559,0.011649101972579956
0,0,0,0,0,NEUTRAL,2657172,6,0.041663944721221924,0.012030333280563354,0.012080460786819458,0.008486568927764893,0.0063397884368896484
1,0,0,1,0,EF[2]|DI[3],656340,2,0.08854565024375916,0.07037973403930664,0.06293869018554688,0.5653902292251587,0.9763705730438232
0,0,0,1,0,DI[1],656340,7,0.011798352003097534,0.00771564245223999,0.007469892501831055,0.9557390213012695,0.13321879506111145
0,0,0,0,0,NEUTRAL,656340,1,0.008605003356933594,0.21175485849380493,0.007594078779220581,0.01167762279510498,0.016874969005584717
0,0,1,0,0,ADR[1],668099,6,0.015778660774230957,0.00949069857597351,0.010732203722000122,0.01844644546508789,0.0058605968952178955
0,0,1,0,0,ADR[4],668099,7,0.016410499811172485,0.0258806049823761,0.012267053127288818,0.00795888900756836,0.007340669631958008
0,0,1,0,0,ADR[3],668099,8,0.019806504249572754,0.009098082780838013,0.12419703602790833,0.003757953643798828,0.03557926416397095
0,0,1,0,0,ADR[2],668099,11,0.0209062397480011,0.03300410509109497,0.962043821811676,0.011458158493041992,0.02971014380455017
0,0,0,0,0,NEUTRAL,668099,13,0.008726030588150024,0.01283961534500122,0.018101125955581665,0.01057252287864685,0.0116405189037323
0,0,0,1,0,DI[3],1325273,1,0.011343419551849365,0.008786767721176147,0.011450767517089844,0.9435049891471863,0.008610546588897705
1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.02489379048347473,0.02814289927482605,0.9781203866004944,0.02663514018058777,0.037240028381347656
0,0,1,0,0,ADR[5],1325273,4,0.022929847240447998,0.02009013295173645,0.9591182470321655,0.019518762826919556,0.018096208572387695
0,0,0,0,1,Finding[4],1325273,5,0.01250380277633667,0.011717170476913452,0.7521586418151855,0.009990215301513672,0.46738144755363464
0,0,0,0,0,NEUTRAL,1325273,3,0.023970574140548706,0.6277552247047424,0.018845856189727783,0.005927443504333496,0.018480747938156128
0,0,0,1,0,DI[5],2412180,1,0.015251100063323975,0.012045204639434814,0.015909820795059204,0.9826523065567017,0.01466667652130127
1,0,0,0,0,EF[3],2412180,2,0.04783502221107483,0.023994475603103638,0.009404957294464111,0.9936060905456543,0.1963343620300293
1,0,0,0,0,EF[1],2412180,3,0.5261439681053162,0.017394065856933594,0.0034923553466796875,0.9333646297454834,0.018334120512008667
1,0,0,1,0,EF[4]|DI[2],2412180,5,0.025204777717590332,0.04660037159919739,0.0071183741092681885,0.989834189414978,0.02213945984840393
0,0,0,0,0,NEUTRAL,2412180,4,0.13507160544395447,0.019386470317840576,0.008789688348770142,0.005795955657958984,0.007981061935424805
0,0,0,1,0,DI[2],2451820,2,0.0066953301429748535,0.007625281810760498,0.006618767976760864,0.13773244619369507,0.007551610469818115
1,0,0,0,0,EF[1],2451820,7,0.9562404155731201,0.007697850465774536,0.3403247594833374,0.03902652859687805,0.0866076648235321
1,0,0,0,0,EF[3],2451820,8,0.9585548639297485,0.02698040008544922,0.01970010995864868,0.01669865846633911,0.034641802310943604
0,0,0,0,0,NEUTRAL,2451820,1,0.03434908390045166,0.010028094053268433,0.011620044708251953,0.009417802095413208,0.0076628029346466064
0,0,0,1,0,DI[1],588478,2,0.009312450885772705,0.00481608510017395,0.011634886264801025,0.8891224265098572,0.21784687042236328
0,0,0,1,0,DI[4],588478,3,0.010223984718322754,0.01453930139541626,0.008585542440414429,0.9802255034446716,0.03279554843902588
0,0,0,1,0,DI[6],588478,4,0.016029953956604004,0.00872686505317688,0.010789364576339722,0.9724986553192139,0.014234602451324463
0,0,0,1,0,DI[7],588478,5,0.017944425344467163,0.041506290435791016,0.008998662233352661,0.9870011806488037,0.014621883630752563
0,1,0,0,0,INF[5],588478,8,0.04210555553436279,0.018685996532440186,0.018596112728118896,0.0040648579597473145,0.029217392206192017
0,0,0,0,1,Finding[2],588478,11,0.019669830799102783,0.0389922559261322,0.010837078094482422,0.6381960511207581,0.8285714387893677
0,0,0,0,1,Finding[3],588478,12,0.03666004538536072,0.012842267751693726,0.01114964485168457,0.8643114566802979,0.511014997959137
0,0,0,0,0,NEUTRAL,588478,1,0.009889960289001465,0.025297164916992188,0.011335313320159912,0.008579224348068237,0.026866018772125244
1,0,0,1,0,EF[3]|DI[4],2436411,3,0.8885722160339355,0.01334083080291748,0.010278761386871338,0.9463657140731812,0.023521453142166138
1,0,0,1,0,EF[1]|DI[2],2436411,4,0.022544801235198975,0.07002943754196167,0.020324617624282837,0.261607825756073,0.9115522503852844
