sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Стала нервной, капризной, чуть что -сразу визг, к бабушкам и дедушкам не идет, все рядом со мной да на ручках... Тяжело( А ведь перед яслями это был активный, общительный и жизнерадостный малыш... Врачи посоветовали попить успокоительное.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.013945353217422962,0.015035524033010006,0.9541228413581848,0.2202579379081726,0.23311875760555267
"После недельного приема дочурка легче стала оставаться в саду, и хоть мы все равно еще плачем там, процесс привыкания идет немного легче.",1,0,0,0,0,EF[2],252298,7,0.10125461965799332,0.10639578849077225,0.37261438369750977,0.36791831254959106,0.3116806149482727
"Очень радует то, что таблетки не горькие, я растворяю их в воде и дочка без проблем их пьет не запивая водой.",0,0,0,0,0,NEUTRAL,252298,8,0.1666545271873474,0.17066892981529236,0.3587167263031006,0.38223227858543396,0.3729689121246338
"И так с появление ребенка в нашей семье и частыми простудными и вирусными заболеваниями в нашей аптечке надолго и крепко поселился ""Афлубин"".",0,0,0,1,0,DI[1],2457636,2,0.017132531851530075,0.016352901235222816,0.15959246456623077,0.31988096237182617,0.21546129882335663
"Болезнь немного отступала, но потом с новой силой приходила и уже не какой ""Афлубин"" не помогал (хотя и пили мы его для профилактики по целому месяцу).",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.01768537051975727,0.02096768468618393,0.25350862741470337,0.33606040477752686,0.1678117960691452
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[4],2457636,6,0.07691170275211334,0.07975350320339203,0.2554258108139038,0.3776759207248688,0.31640174984931946
Ну как сказать не совсем и бесполезный но нам при длительном использовании перестал помогать вообще.,0,0,0,0,0,NEUTRAL,2457636,1,0.07528403401374817,0.07697133719921112,0.2458820939064026,0.39198973774909973,0.31159448623657227
Я перепрбовала очень много средсвт от простуды.,0,0,0,1,0,DI[1],902248,1,0.026630965992808342,0.027821261435747147,0.2140936255455017,0.37732839584350586,0.2137289047241211
Но эффекта было ноль.,0,1,0,0,0,INF[2],902248,4,0.06050891801714897,0.06371940672397614,0.267551064491272,0.3712906241416931,0.26621899008750916
Но на себе его действия я не обнаружила.,0,1,0,0,0,INF[3],902248,13,0.11174971610307693,0.11726203560829163,0.37928685545921326,0.3901517689228058,0.26785480976104736
Общее впечатление : Мне не помогает.Не нравится.,0,1,0,0,0,INF[4],902248,17,0.028984831646084785,0.029897257685661316,0.19129633903503418,0.3651721477508545,0.21505038440227509
Ппри первых симптомах я принимаю порошки.,0,0,0,0,0,NEUTRAL,902248,2,0.02232549339532852,0.02365260384976864,0.19354349374771118,0.3303676247596741,0.16038133203983307
"После удаления небольшой паппиломы на лице (которая появилась повторно спустя 6 месяцев), дерматолог упомянула этот препарат, сказала, можно попробовать.",0,0,0,1,0,DI[5],1410682,1,0.09003584831953049,0.0941479280591011,0.28295260667800903,0.44827744364738464,0.32672613859176636
"Но через какое-то время паппилома на лице снова стала возвращаться, да и еще на пальцах рук стали появляться небольшие новообразования.",0,0,0,1,0,DI[8],1410682,3,0.15509624779224396,0.18966904282569885,0.5325560569763184,0.4210624098777771,0.33461952209472656
Помог на 120%!,1,0,0,0,0,EF[4],1410682,6,0.03963050618767738,0.0423695407807827,0.20991812646389008,0.37829309701919556,0.22536735236644745
"Бесследно прошла паппилома на лице, прошли новообразования на пальцах рук + прошла бородавка на подушечке указательного пальца, которая была со мной уже лет 10-15.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.017123058438301086,0.02248198539018631,0.857420027256012,0.28429490327835083,0.08986157923936844
Из побочных действий у меня были головная боль и сонливость.,0,0,1,0,0,ADR[3],1410682,9,0.08085952699184418,0.08908853679895401,0.36570683121681213,0.4099375605583191,0.24117298424243927
Немного стали выпадать волосы (может не из-за этого).,0,0,1,0,0,ADR[7],1410682,10,0.0170443095266819,0.022907188162207603,0.3072884976863861,0.40604835748672485,0.14591330289840698
Не жалею и только рада!,0,0,0,0,0,NEUTRAL,1410682,12,0.04669704660773277,0.04982742294669151,0.6625536680221558,0.22660259902477264,0.14273032546043396
"Приняла полтаблетки за полчаса до сна, заснула, как будто провалилась куда-то... через час открылись глаза и началось, тело горит, во рту пересохло, язык к небу прилипает, встала такая вялость.",0,0,1,0,0,ADR[1],828011,2,0.012708759866654873,0.015875497832894325,0.9538470506668091,0.18646155297756195,0.08476573973894119
"В итоге выпиоа Полисорб, чтобы промыться.",0,0,0,0,0,NEUTRAL,828011,3,0.01864883489906788,0.021375644952058792,0.13283424079418182,0.4411361515522003,0.18156631290912628
"Я очень часто болею простудными заболеваниями, поэтому покупаю разные противовирусные средства.",0,0,0,1,0,DI[1],2670520,3,0.11326902359724045,0.11477092653512955,0.33174067735671997,0.3666622042655945,0.3054545223712921
"Мазь нужно закладывать в каждую ноздрю на несколько часов, но обычно через минут 15-20 начинаются сильные выделения из носа и приходится его очищать.",0,0,0,1,0,DI[3],2670520,6,0.11450348794460297,0.11930771917104721,0.37750276923179626,0.3607742488384247,0.2953828275203705
С ее помощью насморк быстрее проходит.,1,0,0,1,0,EF[2]|DI[4],2670520,8,0.04840676859021187,0.05204415321350098,0.37286633253097534,0.33346137404441833,0.16946786642074585
"Мазь имеет удобную упаковку, с широкой крышечкой, которая плотно закрывается, густую консистенцию, я использую ее ватной палочкой.",0,0,0,0,0,NEUTRAL,2670520,5,0.12445233017206192,0.12826035916805267,0.3498774766921997,0.368608683347702,0.3203139901161194
"На следующее утро появились высыпания на лице и руках, похожие на комариные укусы.",0,0,1,0,0,ADR[1],2388814,2,0.043324414640665054,0.05205467343330383,0.39007803797721863,0.3978326916694641,0.20373457670211792
После отмены сыпь проходила медленно.,0,0,1,0,0,ADR[2],2388814,5,0.01808805577456951,0.02085372805595398,0.21607902646064758,0.37554699182510376,0.1561409831047058
Один-два комарика такое сделать не смогли бы.,0,0,0,0,0,NEUTRAL,2388814,3,0.02037683315575123,0.02355995774269104,0.16185805201530457,0.42341679334640503,0.2132004052400589
Кстати таблетки помогли несколько уменьшить симптомы болезни.,1,0,0,0,0,EF[1],2732826,6,0.04888539761304855,0.04991355165839195,0.2561255395412445,0.3533247113227844,0.2436804473400116
"Данные таблетки идут как антибиотик, точнее противовирусное средство.",0,0,0,0,0,NEUTRAL,2732826,3,0.0391678549349308,0.042194515466690063,0.1646265685558319,0.4199022054672241,0.2513933777809143
"Если бы лежала дома и болела, то и не заметила бы побочных эффектов, а именно сонливость, когда лежала в следующий раз дома при ОРВИ, то спала отлично.",0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.07158245146274567,0.07922972738742828,0.3946818709373474,0.3651541471481323,0.2700349986553192
"Но если Вы болезнь переносите на ногах, то это не Ваше средство и не дай Бог, если за рулём транспортного средства, предупреждение на упаковке есть... Так как я болезнь переносила на ногах, то выпив в течение рабочего дня 2 таблетки, через час после применения последней меня начало ""вырубать"" в маршрутном такси, пришлось себя щипать за руку)))) В своей жизни применяла 2 раза лично для себя, членам своей семьи не давала вообще.",0,0,1,0,0,ADR[2],2800633,5,0.066834956407547,0.07045651227235794,0.4860304892063141,0.34389588236808777,0.3070180118083954
"В сотаве препарата: парацетамол, цетиризин гидрохлорид, хлорфенирамин малеат, декстрометорфан гидробромид.",0,0,0,0,0,NEUTRAL,2800633,3,0.019998757168650627,0.02314285933971405,0.0769905224442482,0.5594872236251831,0.28222334384918213
"Болею я довольно часто, и приходится как-то бороться с простудой.",0,0,0,1,0,DI[2],2492997,1,0.07880114763975143,0.08689920604228973,0.3241654932498932,0.39206162095069885,0.24919229745864868
"""Альтабор"" я стала использовать при простуде постоянно и вот мои наблюдения: - действует медленно, то есть, тем людям, которые ходят на работу и требуют быстрого обесболивающего эффекта, такой препарат не подойдет; - говоря об обесболивании - в этом плане препарат не работает практически никак - только постепенное лечение; - состав, безусловно, порадовал - на травах и только скрепляющие компоненты, что крайне подходит для лечения; Общее лечение длится до 5 дней - за это время боль в горле проходит полностью и воспаление тоже.",1,1,0,1,0,INF[4]|EF[3]|DI[1],2492997,3,0.03197545185685158,0.03007880039513111,0.22440803050994873,0.3001149892807007,0.2627306580543518
"А так как свекровь - фармацевт, то у меня дома вседа лучшие препараты для лечения в самые болезненные периоды.",0,0,0,0,0,NEUTRAL,2492997,2,0.09166189283132553,0.09310425817966461,0.27433088421821594,0.3652888536453247,0.3700476884841919
"Когда заболела ОРВИ и поделилась этой новостью с двоюродной сестрой, та подогнала мне пару пачек ""Ангрикапс Максима"".",0,0,0,1,0,DI[4],2433935,1,0.04904477298259735,0.04949911683797836,0.19585563242435455,0.40866270661354065,0.3120390474796295
"Для меня это лекарство оказалось абсолютно бесполезным, как мертвому припарка.",0,1,0,0,0,INF[5],2433935,3,0.09351351857185364,0.0976782888174057,0.31491345167160034,0.4121273458003998,0.2635263502597809
"Оно абсолютно не сбивает температуру 39, и другие симптомы гриппа не убирает, облегчения никакого.",0,1,0,1,0,INF[1]|DI[6],2433935,4,0.016525711864233017,0.017969701439142227,0.1684708446264267,0.3900821805000305,0.18111275136470795
"Когда я почувствовала легкое недомогание и ощущение того, что болезнь надвигается начала прием ангрикапса.",0,0,0,1,0,DI[3],2433935,8,0.02060285210609436,0.023551825433969498,0.21965834498405457,0.3904277980327606,0.19661809504032135
"Жаль, никакой помощи не последовало, болезнь прогрессировала.",0,1,0,0,0,INF[2],2433935,9,0.03760314732789993,0.04510681703686714,0.561385989189148,0.30054548382759094,0.13055478036403656
"Так и валяются остатки этих капсул в аптечке, нужно будет выкинуть.",0,0,0,0,0,NEUTRAL,2433935,10,0.037908174097537994,0.04352399334311485,0.28361940383911133,0.4114569127559662,0.17373141646385193
"Было красное горло, и температура.",0,0,0,1,0,DI[7],826379,2,0.008528760634362698,0.010878853499889374,0.2599545121192932,0.34893107414245605,0.09619120508432388
"горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.",1,0,1,0,0,EF[5]|ADR[8],826379,7,0.021756110712885857,0.026791809126734734,0.5031232237815857,0.3276344835758209,0.1525070071220398
Видимо какая то трава вызвала аллергию.,0,0,1,0,0,ADR[1],826379,8,0.06414155662059784,0.06746083498001099,0.25495851039886475,0.415554940700531,0.27273768186569214
Вообще мой ребенок не склонен к аллергии.,0,0,0,0,1,Finding[3],826379,10,0.09370523691177368,0.08998098969459534,0.2550651729106903,0.38619086146354675,0.33829638361930847
"И сейчас нам уже 7 месяцев, аллергии ни на что нет.",0,0,0,0,1,Finding[2],826379,11,0.046256083995103836,0.0539228692650795,0.3431438207626343,0.4023720920085907,0.20489300787448883
Потом аллергию лечили еще неделю.,0,0,0,1,0,DI[4],826379,13,0.01564166694879532,0.017607128247618675,0.1538073569536209,0.445350706577301,0.18277086317539215
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE,0,0,1,0,0,ADR[6],826379,15,0.0027941707521677017,0.0029032656457275152,0.1806054413318634,0.21180658042430878,0.07357707619667053
Врач выписала от горла Тонзилгон.,0,0,0,0,0,NEUTRAL,826379,3,0.01212690956890583,0.01417227927595377,0.07279069721698761,0.5312865376472473,0.21739241480827332
"Во время беременности и после при любых простудных заболеваниях и ОРВИ принимала сама, лечила сынишку и всех остальных.",0,0,0,1,0,DI[1],2540685,1,0.04101813584566116,0.043380528688430786,0.2061319202184677,0.39569249749183655,0.2721746265888214
"Действительно, если во время начать капать капли Грипферон помогают быстрее справится с болезнью.",1,0,0,0,0,EF[3],2540685,2,0.03488103300333023,0.034524042159318924,0.15985414385795593,0.36900901794433594,0.24726741015911102
"Также капаю всей своей семье для профилактики, в холодное время года.",0,0,0,1,0,DI[2],2540685,5,0.05835925415158272,0.06166592985391617,0.3412645161151886,0.37880924344062805,0.2304532527923584
Капли Грипферон всегда есть в моей аптечке - точнее в холодильнике.,0,0,0,0,0,NEUTRAL,2540685,8,0.012059498578310013,0.012567924335598946,0.08636326342821121,0.4060977101325989,0.19095416367053986
"), а сове это не просто, если привык засыпать после 3 утра.",0,0,0,1,0,DI[4],1133905,2,0.018012912943959236,0.01912645250558853,0.3779129683971405,0.22355638444423676,0.15850843489170074
"И вот с половины таблетки донормила, наутро я испытал похмельный синдром, который последний раз у меня был лет 35 назад в подростковом возрасте.",0,0,1,0,0,ADR[2],1133905,4,0.10236470401287079,0.1088995486497879,0.422127366065979,0.42026370763778687,0.30556225776672363
"Потом полдня ходил как зомби, тяжелая голова и тело, тошнота, за руль сесть не решился, сработал инстинкт самосохранения, пришлось поездку отложить, день потерян!",0,0,1,0,0,ADR[3],1133905,5,0.025479529052972794,0.035382580012083054,0.8696156144142151,0.3396112322807312,0.1608378291130066
"Сам сон прерывистый, с глюками.",0,0,1,0,0,ADR[1],1133905,6,0.0011267054360359907,0.001374096842482686,0.9861262440681458,0.014401525259017944,0.00767606683075428
"Итог: препарат работает, но такая работа и её последствия - врагу не пожелаешь!",0,0,0,0,0,NEUTRAL,1133905,7,0.10858724266290665,0.11579883098602295,0.4455018937587738,0.3417138159275055,0.30587238073349
"Этот спрей нам иногда помогает, когда уже насморк запущен настолько, что уже ничего не помогает.",1,0,0,1,0,EF[2]|DI[3],2402827,2,0.07575513422489166,0.07661893963813782,0.3065696954727173,0.34081920981407166,0.2561907470226288
Причем насморк имеет бактериальную форму.,0,0,0,1,0,DI[1],2402827,3,0.028223276138305664,0.03317246958613396,0.19176116585731506,0.44376739859580994,0.18203628063201904
Это средство эффективное и пока не подводило.,1,0,0,0,0,EF[4],2402827,7,0.09298160672187805,0.097337506711483,0.46840009093284607,0.3298499286174774,0.2266816645860672
"Отзыв о спрее назальном Zambon ""Ринофлуимуцил"".",0,0,0,0,0,NEUTRAL,2402827,1,0.004477810114622116,0.004662517458200455,0.055261701345443726,0.34475117921829224,0.14838865399360657
