#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=У меня частенько вскакивает на губах герпес, особенно почему то осенью и весной.
1-1	0-1	У	_	_	_	_	
1-2	2-6	меня	_	_	_	_	
1-3	7-16	частенько	_	_	_	_	
1-4	17-27	вскакивает	_	_	_	_	
1-5	28-30	на	*[1]	DI[1]	_	_	
1-6	31-36	губах	*[1]	DI[1]	_	_	
1-7	37-43	герпес	*[1]	DI[1]	_	_	
1-8	43-44	,	_	_	_	_	
1-9	45-53	особенно	_	_	_	_	
1-10	54-60	почему	_	_	_	_	
1-11	61-63	то	_	_	_	_	
1-12	64-70	осенью	_	_	_	_	
1-13	71-72	и	_	_	_	_	
1-14	73-79	весной	_	_	_	_	
1-15	79-80	.	_	_	_	_	

#Text=Обострение какое то.
2-1	81-91	Обострение	_	_	_	_	
2-2	92-97	какое	_	_	_	_	
2-3	98-100	то	_	_	_	_	
2-4	100-101	.	_	_	_	_	

#Text=Я его по старинке лучила Ацикловиром.
3-1	102-103	Я	_	_	_	_	
3-2	104-107	его	_	_	_	_	
3-3	108-110	по	_	_	_	_	
3-4	111-119	старинке	_	_	_	_	
3-5	120-126	лучила	_	_	_	_	
3-6	127-138	Ацикловиром	*	Drugname	_	_	
3-7	138-139	.	_	_	_	_	

#Text=Ведь это сильнейший противовирусный препарат.
4-1	140-144	Ведь	_	_	_	_	
4-2	145-148	это	_	_	_	_	
4-3	149-159	сильнейший	_	_	_	_	
4-4	160-175	противовирусный	*	Drugclass	_	_	
4-5	176-184	препарат	_	_	_	_	
4-6	184-185	.	_	_	_	_	

#Text=Он именно распознает вирусы герпеса и борется с ними.
5-1	186-188	Он	_	_	_	_	
5-2	189-195	именно	_	_	_	_	
5-3	196-206	распознает	_	_	_	_	
5-4	207-213	вирусы	_	_	_	_	
5-5	214-221	герпеса	*	DI	_	_	
5-6	222-223	и	_	_	_	_	
5-7	224-231	борется	_	_	_	_	
5-8	232-233	с	_	_	_	_	
5-9	234-238	ними	_	_	_	_	
5-10	238-239	.	_	_	_	_	

#Text=Побочных эффектов у меня не было.
6-1	240-248	Побочных	_	_	_	_	
6-2	249-257	эффектов	_	_	_	_	
6-3	258-259	у	_	_	_	_	
6-4	260-264	меня	_	_	_	_	
6-5	265-267	не	_	_	_	_	
6-6	268-272	было	_	_	_	_	
6-7	272-273	.	_	_	_	_	

#Text=Но если ты его взялся пить, то нужно пропить курсом.
7-1	274-276	Но	_	_	_	_	
7-2	277-281	если	_	_	_	_	
7-3	282-284	ты	_	_	_	_	
7-4	285-288	его	_	_	_	_	
7-5	289-295	взялся	_	_	_	_	
7-6	296-300	пить	_	_	_	_	
7-7	300-301	,	_	_	_	_	
7-8	302-304	то	_	_	_	_	
7-9	305-310	нужно	_	_	_	_	
7-10	311-318	пропить	_	_	_	_	
7-11	319-325	курсом	_	_	_	_	
7-12	325-326	.	_	_	_	_	

#Text=По 200 мг, это одна таблетка, через каждые четыре пять часов, пять раз в день.
8-1	327-329	По	_	_	_	_	
8-2	330-333	200	_	_	_	_	
8-3	334-336	мг	_	_	_	_	
8-4	336-337	,	_	_	_	_	
8-5	338-341	это	_	_	_	_	
8-6	342-346	одна	_	_	_	_	
8-7	347-355	таблетка	*	Drugform	_	_	
8-8	355-356	,	_	_	_	_	
