#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=После приема первой таблетки(утром), уже через два часа, почувствовала все прелести "индивидуальной непереносимости".
1-1	0-5	После	_	_	
1-2	6-12	приема	_	_	
1-3	13-19	первой	_	_	
1-4	20-28	таблетки	*	Drugform	
1-5	28-29	(	_	_	
1-6	29-34	утром	_	_	
1-7	34-35	)	_	_	
1-8	35-36	,	_	_	
1-9	37-40	уже	_	_	
1-10	41-46	через	_	_	
1-11	47-50	два	_	_	
1-12	51-55	часа	_	_	
1-13	55-56	,	_	_	
1-14	57-70	почувствовала	_	_	
1-15	71-74	все	_	_	
1-16	75-83	прелести	_	_	
1-17	84-85	"	_	_	
1-18	85-99	индивидуальной	_	_	
1-19	100-115	непереносимости	_	_	
1-20	115-116	"	_	_	
1-21	116-117	.	_	_	

#Text=Ежеминутно стало бросать в жар, появилась сильная слабость, тахикардия, неясность сознания, притупленность, безразличие, никого не хочеться ни видеть, ни слышать, на улицу выйти естественно не можешь, да и не хочеться.
2-1	118-128	Ежеминутно	_	_	
2-2	129-134	стало	_	_	
2-3	135-142	бросать	*[1]	ADR[1]	
2-4	143-144	в	*[1]	ADR[1]	
2-5	145-148	жар	*[1]	ADR[1]	
2-6	148-149	,	_	_	
2-7	150-159	появилась	_	_	
2-8	160-167	сильная	_	_	
2-9	168-176	слабость	*	ADR	
2-10	176-177	,	_	_	
2-11	178-188	тахикардия	*	ADR	
2-12	188-189	,	_	_	
2-13	190-199	неясность	*[2]	ADR[2]	
2-14	200-208	сознания	*[2]	ADR[2]	
2-15	208-209	,	_	_	
2-16	210-224	притупленность	*	ADR	
2-17	224-225	,	_	_	
2-18	226-237	безразличие	*	ADR	
2-19	237-238	,	_	_	
2-20	239-245	никого	_	_	
2-21	246-248	не	_	_	
2-22	249-257	хочеться	_	_	
2-23	258-260	ни	_	_	
2-24	261-267	видеть	_	_	
2-25	267-268	,	_	_	
2-26	269-271	ни	_	_	
2-27	272-279	слышать	_	_	
2-28	279-280	,	_	_	
2-29	281-283	на	_	_	
2-30	284-289	улицу	_	_	
2-31	290-295	выйти	_	_	
2-32	296-307	естественно	_	_	
2-33	308-310	не	_	_	
2-34	311-317	можешь	_	_	
2-35	317-318	,	_	_	
2-36	319-321	да	_	_	
2-37	322-323	и	_	_	
2-38	324-326	не	_	_	
2-39	327-335	хочеться	_	_	
2-40	335-336	.	_	_	

#Text=Уже вечер, а меня не отпускает.
3-1	337-340	Уже	_	_	
3-2	341-346	вечер	_	_	
3-3	346-347	,	_	_	
3-4	348-349	а	_	_	
3-5	350-354	меня	_	_	
3-6	355-357	не	_	_	
3-7	358-367	отпускает	_	_	
3-8	367-368	.	_	_	

#Text=И это от одной таблетки, пить больше не буду.
4-1	369-370	И	_	_	
4-2	371-374	это	_	_	
4-3	375-377	от	_	_	
4-4	378-383	одной	_	_	
4-5	384-392	таблетки	*	Drugform	
4-6	392-393	,	_	_	
4-7	394-398	пить	_	_	
4-8	399-405	больше	_	_	
4-9	406-408	не	_	_	
4-10	409-413	буду	_	_	
4-11	413-414	.	_	_	

#Text=Рада за тех, кому помогает.
5-1	415-419	Рада	_	_	
5-2	420-422	за	_	_	
5-3	423-426	тех	_	_	
5-4	426-427	,	_	_	
5-5	428-432	кому	_	_	
5-6	433-441	помогает	_	_	
5-7	441-442	.	_	_	

#Text=Общее впечатление : Не подошел
6-1	443-448	Общее	_	_	
6-2	449-460	впечатление	_	_	
6-3	461-462	:	_	_	
6-4	463-465	Не	_	_	
6-5	466-473	подошел	_	_	
